ADMIN1;ADMIN2;FUNC1;2018_EXECUTED;2018_ADJUSTED;2019_EXECUTED;2019_ADJUSTED;2020_EXECUTED;2020_ADJUSTED;2021_EXECUTED;2021_ADJUSTED;2022_EXECUTED;2022_ADJUSTED;2023_EXECUTED;2023_ADJUSTED;2024_EXECUTED;2024_ADJUSTED;2025_EXECUTED;2025_ADJUSTED;2026_EXECUTED;2026_ADJUSTED
Місцеві бюджети;Івано-Франкiвська обл.;;25997267736.71;27573545031.42;23975392662.18;26222017344.46;15212367614.62;16858213728.79;16777337122.26;18339892489.13;16696195402.23;18540744925.89;20731764788.43;21808244760.16;20605425608.33;21867324395.05;23812618045.24;24943618656.53;3684471502.5;23939441360.7
Місцеві бюджети;Івано-Франкiвська обл.;0100 Загальнодержавні функції;8201591519.06;8606499575.01;6699510254.19;7307748435.08;2811212094.66;3077030477.29;2615827167.73;2947671984.6;2411021258.94;2806605258.86;3552987751.5;3599199831.09;3206812633.18;3215196387.69;4047314326.03;4139270034.61;537891588.12;3779041683.01
Місцеві бюджети;Івано-Франкiвська обл.;0300 Громадський порядок, безпека та судова влада;51344033.25;54696714.98;64393637.96;67453357.32;74626656.69;78632653.66;95755586.26;102045147.33;257835382.5;303200330.41;403169492.43;440732745.52;491831828.7;523364108.77;468735697.72;515197753.89;55701231.72;557010520
Місцеві бюджети;Івано-Франкiвська обл.;0400 Економічна діяльність;1467808505.55;2086327580.5;1943298925.73;2493584388.27;1534504900.06;1950034563.87;1896909124.28;2231389954.22;1191028193.87;1842644260.99;2145777378.41;2348323031.87;1072129739.71;1189813088.65;1086150637.23;1239237599.21;68608182.29;1186093231.91
Місцеві бюджети;Івано-Франкiвська обл.;0500 Охорона навколишнього природного середовища;218326109.03;256913683.08;281271880.07;339990959.82;147224760.71;242498623.14;131356717.59;171291104.42;26521515.05;66829622.95;79901922.99;99781340.26;12330493.65;65959645.09;29354299.09;35952208.31;35004;193073301.02
Місцеві бюджети;Івано-Франкiвська обл.;0600 Житлово-комунальне господарство;700039379.6;773871151.74;779056482.27;953300006.06;774311182.83;909924149.19;1038053693.03;1274598738.81;974653656.79;1109219383.92;1671735476.07;1856098799.44;1284307920.2;1376567889.59;1681528454.63;1826600581.39;191093038.93;1815745232.34
Місцеві бюджети;Івано-Франкiвська обл.;0700 Охорона здоров'я;2934751543.96;2908021121.08;2803652848.07;2839827168.48;1353926948;1400784224.34;712948024.17;751865041.73;846166321.51;878310632.05;855422131.22;910572397.57;767068304.49;943702861.36;891774559.17;1142295919.43;119073605.23;1133938766
Місцеві бюджети;Івано-Франкiвська обл.;0800 Духовний та фізичний розвиток;641794309.05;705775038.64;824318967.31;935664722.85;852014643.21;1012986544.94;1077288417.2;1119944628.5;878656656.38;955792424.95;1063823409.39;1109938579.97;1101920655.81;1156675076.51;1240890758.81;1259314212.97;178820882.49;1262383269
Місцеві бюджети;Івано-Франкiвська обл.;0900 Освіта;5774948771.24;5962982877.88;6525263979.13;6832038077.33;7141255611.94;7642739331.63;8616425466.1;9141108250.1;9241574866.81;9713570154.42;9570627173.37;10024449976.29;10817035613.45;11488623367.96;12522745428.53;12772955521.14;2233950087.45;11813067835.11
Місцеві бюджети;Івано-Франкiвська обл.;1000 Соціальний захист та соціальне забезпечення;6006663565.97;6218457288.51;4054625687.45;4452410229.25;523290816.52;543583160.73;592772925.9;599977639.42;868737550.38;864572857.34;1388320053.05;1419148058.15;1851988419.14;1907421969.43;1844123884.03;2012794825.58;256034033.87;1890186179.31
Місцеві бюджети;Івано-Франкiвська обл.;-9 не існує;;;;;;;;;;;;;;;;;43263848.4;308901343
Місцеві бюджети;Київська обл.;;38223544553.16;40447205175.5;36194022067.64;38675424128.11;28575390124.11;31326276027.73;32308141030.27;35454748734.9;28234851312.86;37044008046.86;42372012520.34;50790470635.15;45638304517.92;52971056179.75;53378935378.98;60299103601.07;6728422153.64;50927865595.13
Місцеві бюджети;Київська обл.;0100 Загальнодержавні функції;10971968199.44;11388036290.82;9567530223.69;10096826488.91;5912924628.94;6408312613.54;6506701330.65;7032677773.46;4556182204.5;7061497583.67;9289888845.34;10177045189.03;8509159305.75;9539799943.72;12010438281.97;13250555946.5;1692692207.79;11608535868.32
Місцеві бюджети;Київська обл.;0300 Громадський порядок, безпека та судова влада;97544102.92;108844501.07;125335339.6;135015615.82;217712368.19;241796047.24;176688414.25;197499005.22;1826620234.71;2325866877.86;2369783184.85;2794813165.89;2028841283.06;2621801615.14;1746261174.86;2023810357.48;148435744.53;1319202662.03
Місцеві бюджети;Київська обл.;0400 Економічна діяльність;4488598670.37;5624445146.29;4361649250.29;5387534018;5020751500.39;6007967911.95;4986295729.31;6673290214.11;2362461286.88;5235776651.71;5728366699.87;11418904865.01;4885138837.67;9141658850.82;4242385590.01;6900280313.45;80640390.21;2451869259.67
Місцеві бюджети;Київська обл.;0500 Охорона навколишнього природного середовища;119042139.42;235731930.03;198034052.49;315933716.79;158703463.22;221721591.25;81666613.23;133566207.73;41131165.05;129779380.77;66962767.14;93378641.08;66572575.36;111122401.34;84787245.13;117046141.12;4627802.24;111227272
Місцеві бюджети;Київська обл.;0600 Житлово-комунальне господарство;1680720070.53;1867227712.21;2041580348.54;2258227615.07;1882100030.86;2106236016.92;3204162411.54;3449598274.29;2618618475.22;3638838874.05;3542559904.69;4306519020.61;3914201243.75;4390806673.31;5012721815.05;6103364067.72;552209703.24;4523696740.47
Місцеві бюджети;Київська обл.;0700 Охорона здоров'я;4481996827.25;4498458161.81;4373909403.1;4460493139.07;2753496552.34;2960091617;1660543132.69;1743834825.24;1569536439.84;1721215817.63;2093622253.45;2268367184.64;2221676997.66;2468524781.57;2744464672.43;3040210895.41;273073584.58;2787249542.98
Місцеві бюджети;Київська обл.;0800 Духовний та фізичний розвиток;1060393666.15;1100957582.76;1103056283.17;1149607460.71;1068400163.99;1140045951.68;1341874868.24;1373336370.06;1139144950;1339006997.27;1476857100.54;1573260110.22;1780824028.78;1886519720.27;2062881973.82;2142522847.06;273613465.17;2331634166.72
Місцеві бюджети;Київська обл.;0900 Освіта;8255000586.82;8498661779.38;9347209844.68;9652453068.63;10321831577.37;10958265205.86;12964125819.78;13414980097.73;12679592942.18;14097024732.13;15071720099.77;15557958253.62;18098991398.21;19034169231.84;21551719358.83;22695097550.43;3243995082.16;21862932181.07
Місцеві бюджети;Київська обл.;1000 Соціальний захист та соціальне забезпечення;7068280290.26;7124842071.13;5075717322.08;5219333005.11;1239469838.81;1281839072.29;1386082710.58;1435965967.06;1441563614.48;1495001131.77;2732189406.33;2551891018.05;4132898847.68;3776652961.74;3922955246.88;4025895461.9;459089031.52;3680468318.87
Місцеві бюджети;Київська обл.;-9 не існує;;;;;;;;;;;62258.36;48333187;;;320020;320020;45142.2;251049583
Місцеві бюджети;Кіровоградська обл.;;19170730953.79;19835873875.86;17204040543.93;18727266626.17;11967093933.76;12817478137.87;13442591166.93;14299665410.63;11793881922.32;14325005818.8;15607939120.36;17043570704.29;16109028054.03;17218398046.28;17812555854.95;18759686416.19;2677515409.42;17103293900.03
Місцеві бюджети;Кіровоградська обл.;0100 Загальнодержавні функції;6415641249.38;6525395828.13;4923278377.35;5449922106.2;2340979257.51;2522492080.89;2426346552.01;2561511770.25;1554307796.2;2208773894.43;2715411532.4;2989523326.56;2464002586.99;2645280128.15;3106097465.94;3400777068.05;439508269.96;2922767337.6
Місцеві бюджети;Кіровоградська обл.;0300 Громадський порядок, безпека та судова влада;24631161.03;26510668.92;28072605.82;29878962.35;36877932.62;40234454.46;35611876.63;37537591.51;112009272.53;133413004.86;137986847.52;164332194.76;102164449.04;153564847.44;93573115.77;112453648.21;13288233.7;139861687.41
Місцеві бюджети;Кіровоградська обл.;0400 Економічна діяльність;1027616334.57;1408302156.57;1307947661.96;1641802057.55;1647832609.6;1874610088.24;1510698002.7;1869656675.41;750231065.89;1726900821.47;1758897158.39;2594023097.44;947289411.89;1255894869.5;705011593.6;881982849.82;46133799.44;541438480
Місцеві бюджети;Кіровоградська обл.;0500 Охорона навколишнього природного середовища;49244585.58;78757266.39;83554562.89;117620617.36;36852567.4;64838191.88;67562889.64;83093139.49;16286609.75;44006557.55;42023435.4;51886691.41;31117119.28;33358565.62;40843547.46;44595215.83;1733974.88;41812084.29
Місцеві бюджети;Кіровоградська обл.;0600 Житлово-комунальне господарство;471217081.35;517549380.95;569171949.78;618134147.33;595836452.48;625848132.41;1041090911.46;1122634328.19;648553824.5;1038158840.27;1054804198.98;1095277376.43;1053081195.58;1111160630.39;1250898705.16;1342916022.18;141260588.01;1180396372.85
Місцеві бюджети;Кіровоградська обл.;0700 Охорона здоров'я;2379837693.62;2316174190.28;2201238080.17;2189635291.08;1126582605.49;1198078980.33;709387547.62;760882336.99;795999688.44;892152567.73;971426469.66;1032179265.31;971975010.16;1009403269.46;1054038116.34;1096829628.01;180320011.48;948573099
Місцеві бюджети;Кіровоградська обл.;0800 Духовний та фізичний розвиток;453745005.66;467116412.05;510282754.22;518441561.75;512385600.04;533377917.32;606679503.31;613141924.26;590877677.32;628680484.02;702216298.15;720417010.14;786651060.46;799805707.79;879901681.38;917864311.01;130096532.53;940065813
Місцеві бюджети;Кіровоградська обл.;0900 Освіта;4340203737.39;4449640357.92;4825145600.02;4993958481.58;5064928371.28;5343752688.76;6262607879.54;6464215235.81;6322759849.93;6746601416.46;6899249441.06;7155736049.37;8175824681.39;8646113122.92;9011913297.54;9302029866.54;1500511932.94;8763492749.55
Місцеві бюджети;Кіровоградська обл.;1000 Соціальний захист та соціальне забезпечення;4008594105.21;4046427614.65;2755348951.72;3167873400.97;604818537.34;614245603.58;782606004.02;786992408.72;1002856137.76;906318232.01;1325923738.8;1240195692.87;1576922539.24;1563816905.01;1670278331.76;1660237806.54;224662066.48;1606836276.33
Місцеві бюджети;Кіровоградська обл.;-9 не існує;;;;;;;;;;;;;;;;;0;18050000
Місцеві бюджети;Луганська обл.;;12238635948.77;12856426996.64;11626351546.07;12885281538.2;8911261500.57;9530218847.84;11356583925.91;11787495820.57;4075446874.7;9497130022.69;2795313639.23;7012071345.12;3517440426.86;5790744491;6060123138.18;9144871489;420088067.52;3728488848
Місцеві бюджети;Луганська обл.;0100 Загальнодержавні функції;3676737370.31;3752053419.71;2985496262.54;3348974031.65;1658059713.94;1875160088.66;2348476437.86;2384238459.65;783160610.39;2290776685.43;916452903.94;4095259665;1485086273.5;2510092180.14;4084023868.14;6696629010;177746605.07;1542807566
Місцеві бюджети;Луганська обл.;0300 Громадський порядок, безпека та судова влада;11179530.81;12754637.59;8146433.26;9556032.99;13819615.36;20054152.56;9148610.5;9718800;156916733.22;235169020;133157448.01;205223543;98102272.3;135912869;21578464.98;36629341;323884.66;15990617
Місцеві бюджети;Луганська обл.;0400 Економічна діяльність;658189434.32;1065261284.76;1085784210.06;1338336071.04;1651865343.54;1816474247.51;1951618888.44;2219539937.49;235170274.88;750300195.63;336955623.15;938973795.61;187659698.19;1056881682;214524928.45;454193486.97;1756590.72;518072207
Місцеві бюджети;Луганська обл.;0500 Охорона навколишнього природного середовища;41490932.22;72038747;136068836.58;272406314;139074632.14;172959382.54;45570227.44;81505373.82;198909.17;62565497;59808;66145;7827420.24;7876599.86;;;;
Місцеві бюджети;Луганська обл.;0600 Житлово-комунальне господарство;308561609.65;315351249.44;353950549.33;372331549.56;326995919.96;305581326.57;1182897551.19;1220265541.61;256701851.68;475406981.88;37142752.75;124518952;78939368.27;100140066;71161433.71;83285555;6613675.22;50170042
Місцеві бюджети;Луганська обл.;0700 Охорона здоров'я;1867750006.62;1875973259.82;1859462129.57;1935885641.22;1099072153.83;1149560754.19;774270261.13;785626606.14;269549690.64;649920636;195122130.55;259726830.39;401390566.27;442993677;390761242.11;422412114;47087704.44;306441659
Місцеві бюджети;Луганська обл.;0800 Духовний та фізичний розвиток;389074656.05;392884584.21;426470202.6;439684211.79;430055900.88;440304973.93;537289679.26;522654444.25;210972058.46;559084706;81811924.97;100792927;88072488.28;108424571;88829992.18;92725031;13389195.83;98524939
Місцеві бюджети;Луганська обл.;0900 Освіта;2734121874.03;2798318987.74;3015443068.1;3170074782.46;3183649514.72;3334869568.47;3975318738.65;4041899293.58;2028465065.71;4023509085.75;940020579.08;1106744282.12;919706958.13;1116279771;867027213.44;941337706.03;146120589.5;817397556
Місцеві бюджети;Луганська обл.;1000 Соціальний захист та соціальне забезпечення;2551530534.76;2571790826.37;1755529854.03;1998032903.49;408668706.2;415254353.41;531993531.44;522047364.03;134311680.55;450397215;154590468.78;180765205;250655381.68;312143075;322215995.17;417659245;27049822.08;379084262
Місцеві бюджети;Львiвська обл.;;47109328843.4;50557470485.37;42797835978.5;45101102719.07;32434421556.19;36029027465.65;35744363536.95;39364884110.16;35048425219.45;44398441830.41;50907129722.77;54744924097.67;47600683699.91;51851347227.52;58193938671.53;62279513560.94;7117746069.52;59205419063.17
Місцеві бюджети;Львiвська обл.;0100 Загальнодержавні функції;13517522108.66;13946612240.7;10572781183.74;11100046487.38;5909537704.67;6525240979.99;5790160523.28;6998365140.13;5224938741.14;7938272164.92;10304390357.61;11419457953.63;7301761327.8;8424719146.09;11403860820.26;12411313205.48;1549837772.85;11038517412.85
Місцеві бюджети;Львiвська обл.;0300 Громадський порядок, безпека та судова влада;38486421.25;39837978.27;44494159.08;47186167.67;92265874.25;93911726.39;66479142.52;67470876.08;317678942.9;359124037.47;431434815.53;465932624.71;558245914.54;612333138.85;508492584.25;551930070.85;55443536.21;1230153173
Місцеві бюджети;Львiвська обл.;0400 Економічна діяльність;5235647002.96;7351271756.2;5457518959.53;6196146482.53;7081411957.92;8929050429.48;6498975052.54;7832202431.01;3626789453.68;6920839920;8548104243.6;10075377830.55;5166842570.3;6845178736.99;4970692326.83;5813678080.49;195339692.7;4487226423.28
Місцеві бюджети;Львiвська обл.;0500 Охорона навколишнього природного середовища;94603773.42;140165124.01;179578056.76;214656732.53;61540286.62;94348652.15;90263891.53;109161531.23;15834500.11;82629697.4;122469414.57;150499005.55;83570078.54;101667213.78;80739416.08;114067364.16;702274.4;58240423
Місцеві бюджети;Львiвська обл.;0600 Житлово-комунальне господарство;1506240286.41;1598705437.37;1873478779.07;1935567411.82;1461435162.25;1561228926.43;2470316237.01;2947117036.62;2878180460.94;4204987400.94;4132631408.37;4360247534.95;4401857577.68;4501758569.86;5915106464.59;6954395543.84;646509484.13;6230212236.36
Місцеві бюджети;Львiвська обл.;0700 Охорона здоров'я;5660411204.7;5742121514.19;5302761284.3;5396297857.29;2803109470.49;2885155793.52;1731441818.7;1792551303.77;2047295083.71;2521846634.96;2675260939.03;2923495011.01;2463887096.35;2547644089.54;3194934148.76;3499066966.68;284743250.95;2780077689.13
Місцеві бюджети;Львiвська обл.;0800 Духовний та фізичний розвиток;1166442832.7;1186297704.1;1365729382.13;1377395459.69;1314856924.77;1395894654.98;1645519527.83;1675291126.59;1714236580.54;1896044195.17;2135570265.05;2213744033.88;2328668197.79;2398975101.2;2827551969.75;2922081396.89;339928866.97;3098373686.68
Місцеві бюджети;Львiвська обл.;0900 Освіта;10122840842.42;10491319625.85;11560865022.44;12034536515.91;12332371796.43;13101807256.57;15867926176.95;16313061767.13;17325835190.56;18379156888.42;19719547739.39;20189511146.71;21797701801.81;22784758890.82;25132649982.74;25685689494.11;3611435291.03;26039334227.53
Місцеві бюджети;Львiвська обл.;1000 Соціальний захист та соціальне забезпечення;9767134370.88;10061139104.68;6440629151.45;6799269604.25;1377892378.79;1442389046.14;1583281166.59;1629662897.6;1897636265.87;2095540891.13;2837720539.62;2946658956.68;3498149135.1;3634312340.39;4159910958.27;4327291438.44;433736328.28;3765295795
Місцеві бюджети;Львiвська обл.;-9 не існує;;;;;;;;;;;;;;;;;69572;477987996.34
Місцеві бюджети;м. Київ;;58124033707.81;57732316888;61120503234.57;62005915589;57948507057.85;62645768982;69447740746.75;76577430265;59595317416.16;73170879531.22;82972287175.79;98106930841;96210609645.13;108089208476.2;116206038051.11;125347179121;11024702753.19;123168846779
Місцеві бюджети;м. Київ;0100 Загальнодержавні функції;2382273919.69;2276409774;2634292548.68;2704934420;2786496985.36;2952141873;3517579879.85;3393700242;4667749513.9;6368973478.12;9592390207.96;9977876105;9448860605.64;10365841968.34;16267690457.55;16703785258.8;1500212439.9;8981744160
Місцеві бюджети;м. Київ;0300 Громадський порядок, безпека та судова влада;63509504.34;66278300;80335815.23;80529811;103703354;105966810;129805246.97;140581890;147265840.89;182874345;218836051.1;234883425;755900317.02;784899769;181066280.59;243378025;37912958.74;518689882
Місцеві бюджети;м. Київ;0400 Економічна діяльність;16338077794.53;17191638775;15761628214.25;16592755855;17370761089.34;19214314805;21443346495.61;27155746400;17528274098.97;21055864428.1;25601611343.37;35388305669;32332467314.1;39801589643;30118200178.81;33546551493;1528702911.15;23382380389
Місцеві бюджети;м. Київ;0500 Охорона навколишнього природного середовища;124908499.05;153938300;160355544.29;169776575;85668875.57;93445530;89278589.07;99512504;30049805.99;97460980;81930267.83;169295854;119052107.47;192629927;28007067.05;261495572;2695755.72;164060668
Місцеві бюджети;м. Київ;0600 Житлово-комунальне господарство;3649254551.48;3830699369;3790535738.53;4049836977;3806397293.19;4215604275;4653558881.89;5342239674;5057395352.29;7347513325;6666791839.71;7884893885;5314270353.84;5814344390.86;11093956315.24;12873419397;507617253.59;11469264574
Місцеві бюджети;м. Київ;0700 Охорона здоров'я;10248638301.63;9174541510;11231547047.24;10371604443;7916299552.8;8255854555;6670192459.75;6850168332;5492384354.83;6269958163;6950916169.94;7920107670;6815010011.73;7522604125;7110099430.07;7847015543;466075016.96;7668190298
Місцеві бюджети;м. Київ;0800 Духовний та фізичний розвиток;1628792678.01;1650089440;1951716964.34;1994235650;2355460463.74;2560397250;3153870234.18;2992352775;2359068114.01;2660707107;2955920708.72;3060998576;3285963268.72;3426646755;3940230665.43;4066086899;513400943.83;4431406175
Місцеві бюджети;м. Київ;0900 Освіта;14968892466.36;14404973106;17378883205.53;17445430078;19555555157.09;20923306509;25026831574.71;25539064177;20958012210.52;24893088510;23533341276.91;25509966385;27699093319.11;29160924247;36058016808.54;37773826724.2;5064571824.95;39306677584
Місцеві бюджети;м. Київ;1000 Соціальний захист та соціальне забезпечення;8719685992.72;8983748314;8131208156.48;8596811780;3968164286.76;4324737375;4763277384.72;5064064271;3355118124.76;4294439195;7370549310.25;7960603272;10439992347.5;11019727651;11408770847.83;12031620209;1403513648.35;12058480538
Місцеві бюджети;м. Київ;-9 не існує;;;;;;;;;;;;;;;;;0;15187952511
Місцеві бюджети;Миколаївська обл.;;19111296357.36;20006207856.72;18761143679.36;20292823352.96;13704909752.25;15042571730.94;15252121993.13;16583174074.1;13161633937.93;17651839077.16;19529630864.07;23452849944.61;20479952793.28;21959715080.28;22038137289.47;22596904219.45;2779610773.46;19215550096.2
Місцеві бюджети;Миколаївська обл.;0100 Загальнодержавні функції;5245464127.15;5537258837.71;4635357972.68;5288916917.87;2546606177.39;2777316582.59;2373543376.47;2550951299.45;1781136575.68;2901330609.73;3279316176.28;4185016313.69;3674603508.78;3750659050.75;3927876678.83;4083922768.02;453815840.77;3171133979.03
Місцеві бюджети;Миколаївська обл.;0300 Громадський порядок, безпека та судова влада;44132707.34;46450487.6;38915888.42;40602688.53;63723268.8;69601937.58;45801069.74;47057269.33;357713830.25;391367875.95;397052451;441336437.29;409785519.95;384858889.76;352904824.5;364495156;45012191.14;260844772
Місцеві бюджети;Миколаївська обл.;0400 Економічна діяльність;1327318281.33;1591724044.6;1602231428.17;1788736397.28;1754959702.26;2400236885.42;2156036976.64;2907618063.21;1749139033.16;2936968820.06;3441047190.23;5207791141.5;3148229836.05;4056602558.51;2325919123.76;2503994669.27;178063616.37;2294285662
Місцеві бюджети;Миколаївська обл.;0500 Охорона навколишнього природного середовища;16865896.47;43993415.58;41982779.15;67265037.84;22128144.56;39784379.51;45539937.42;54690928.79;10788300.94;39190244.6;19530156.95;28538554.73;33268947.34;34756227;36132709.78;43895840.69;2728590.47;40093074
Місцеві бюджети;Миколаївська обл.;0600 Житлово-комунальне господарство;783896914.52;882499457.4;831779497.36;852283210.81;884157359.19;929356165.93;1168932075.63;1317052797.06;865629077.67;1399104400.96;2139575921.48;2493758708.85;1623838608.23;1620926821.51;1735552927.28;1786894835.27;105790202.6;1320093467.47
Місцеві бюджети;Миколаївська обл.;0700 Охорона здоров'я;2394659131.63;2390026381.69;2356601234.42;2366470903.47;1164046291.05;1207941265.11;656446128.94;668414077.29;689219200.82;775135369.02;944844196.52;1086494633.55;975095710.8;1111986029.46;1109878392.17;1148008667.75;93884407.64;748992153.46
Місцеві бюджети;Миколаївська обл.;0800 Духовний та фізичний розвиток;613647195.23;620993352.53;691096532.16;696995899.91;702715288.94;723706280.45;840116787.64;843455828.34;638915235.3;891390890;906299971.55;978112280.86;957206463.14;969552224.4;1065982224.41;1078760736.84;148071936.44;1020259694
Місцеві бюджети;Миколаївська обл.;0900 Освіта;4985357206.23;5118531797.09;5629279439.84;5796588523.43;5924106805.74;6239300303.18;7242988920.52;7471584565.27;6319272233.82;7568427143.84;7232366591.74;7942932408.8;8350905009.95;8828642602.17;10042366225.26;10199515787.04;1556842805.13;9062315119.24
Місцеві бюджети;Миколаївська обл.;1000 Соціальний захист та соціальне забезпечення;3699954897.46;3774730082.52;2933898907.16;3394963773.82;642466714.32;655327931.17;722716720.13;722349245.36;749820450.29;748923723;1169598208.32;1086296007.34;1307019189.04;1201730676.72;1441524183.48;1367333772.57;195401182.9;1284933968
Місцеві бюджети;Миколаївська обл.;-9 не існує;;;;;;;;;;;0;2573458;;;0;20081986;0;12598207
Місцеві бюджети;Одеська обл.;;40524955663.7;43008573928.76;41392204193.96;44763925291.15;31533903380.75;34991657199.89;34392121301.11;37265845116.16;28098743905.78;35647544011.02;39475981953.51;46380864371.79;42441335845.73;47853065619.35;47554617073.53;52051244510.21;5904165923.98;46743084028.96
Місцеві бюджети;Одеська обл.;0100 Загальнодержавні функції;10037456546.68;10356122340.16;9960387031.06;10833443908.94;5906828133.34;6367660763.84;5210522960.63;5430059980.55;4095003593.03;6533728758.98;8057700031.9;8742518391.9;8346027567.31;9093634905.54;8962764714.02;9710763708.19;935743063.82;10762248704.03
Місцеві бюджети;Одеська обл.;0300 Громадський порядок, безпека та судова влада;101963309.92;113192787.17;111205075.61;116625238.73;156211242.08;171397231.39;175259785.23;191295211.84;847850992.92;1223987970.79;1182068040.34;1700504135.52;940648537.68;1152827704.16;967595414.78;1007300181.92;64742584.25;812475508.2
Місцеві бюджети;Одеська обл.;0400 Економічна діяльність;5398459212.13;6721264498.57;5372245548.15;6340860468.57;5407875383.62;6568482079.64;6397103952.73;7697692273.75;2303275375.64;4604904151.62;5557674678.39;8800278643.02;4819300497.63;6900972200.88;4443468967.38;5662670366.51;213897520.72;4966082631.99
Місцеві бюджети;Одеська обл.;0500 Охорона навколишнього природного середовища;95921265.14;132873220.67;65769541.17;77808588.32;50234350.78;70417060.31;43407057.65;70217616.99;10405482.4;41142127.65;67568137.26;126302369.19;51571474.6;72254208.09;31848691;101546269.75;984218.75;42796623.52
Місцеві бюджети;Одеська обл.;0600 Житлово-комунальне господарство;3287029874.69;3414140319.73;3265840147.19;3545330087.45;3238621530.52;3616802041.52;3953262017.05;4363735488.1;2746466037.38;3690958733.39;4065769372.55;4823385911.21;4057427828.74;4512923473.36;5319156691.59;5845513081.14;648665588.76;4211555524.22
Місцеві бюджети;Одеська обл.;0700 Охорона здоров'я;5147289384.23;5304277508.09;5210966546.4;5400703444.72;2918168975.72;3106571641.3;1563229294.69;1648367617.42;1487813607.51;1755291279.07;2103076162.91;2386334616.24;2282720775.24;2473708089.83;2958738555.1;3269455468.21;202916985.32;1914830934.58
Місцеві бюджети;Одеська обл.;0800 Духовний та фізичний розвиток;1041425682.69;1079881845;1191780238.11;1249699708.95;1203622656.42;1295209163.07;1426542076.09;1492387387.11;1429231056.17;1475843517.72;1560091726.41;1711965963.38;1694608895.26;1786511734.36;1855681305.54;1932422427.73;257783525.81;1952101633.42
Місцеві бюджети;Одеська обл.;0900 Освіта;9269290434.59;9672096564.07;10473265142.88;10971777184.24;11211636582.66;12288310727.29;13951138073.95;14664184080.43;13209176593.96;14430347152.79;14321609055.43;15450489090.37;16904931088.52;18459307377.94;19530771990.88;20992515367.81;3143698710.41;19190227845.59
Місцеві бюджети;Одеська обл.;1000 Соціальний захист та соціальне забезпечення;6146119953.63;6214724845.3;5740744923.39;6227676661.23;1440704525.61;1506806491.53;1671656083.09;1707905459.97;1969521166.77;1891340319.01;2560424748.32;2639085250.96;3344099180.75;3400925925.19;3484561783.24;3524986678.95;435733726.14;2846022488.41
Місцеві бюджети;Одеська обл.;-9 не існує;;;;;;;;;;;;;;;28960;4070960;0;44742135
Місцеві бюджети;Полтавська обл.;;31016052648.99;32336261749.61;26481118353.55;28562279961.81;20593346022.49;22424813864.01;23942986987.02;25781335013.53;23331604219.09;28481209942.04;28683672238.14;32223764454.01;28527131066.82;30948481446.14;30608321623.12;33077687740.35;4346567100.3;30755628976.82
Місцеві бюджети;Полтавська обл.;0100 Загальнодержавні функції;9855645160.69;10146591495.36;7004248825.94;7673346839.44;4206707077.63;4501858101.55;4266195171.65;4578668241.35;3918270142.7;5147768768.78;5748248006.66;6338773078.63;5062239906.97;5355382802.17;6168633944.11;6515180673.94;946927418.88;6079960275.89
Місцеві бюджети;Полтавська обл.;0300 Громадський порядок, безпека та судова влада;61356153.3;66323478.75;89909944.3;95266101.76;102516857.56;110770599.08;109733039.66;115871777.32;594380658.1;734651045.46;975196917.98;1092805121.18;603460873.51;706171765.2;478858540.02;534123541.58;60915869.19;333956401.05
Місцеві бюджети;Полтавська обл.;0400 Економічна діяльність;2577695095.25;3277940455.36;3279702739.13;3758520030.76;3529430448.93;4171262736;3903976306.27;4589397486.07;2619468404.18;4774967087.92;3572024939.34;5502111568.49;2381221492.93;3543780983.14;2009067729.38;2929393921.42;143675176.42;2269878994.43
Місцеві бюджети;Полтавська обл.;0500 Охорона навколишнього природного середовища;119495982.51;172349100.54;120495388.58;165979487.41;89451491.26;151932029.19;152063064.49;170448276.39;68656946.14;99669561.96;48596691.21;82779431.06;67525901.37;77521611.94;71325564.46;117763239.33;4491356.76;107626389.86
Місцеві бюджети;Полтавська обл.;0600 Житлово-комунальне господарство;1259229610.38;1375307683.69;1412207012.08;1530663156.22;1268516475.37;1471927229.31;2086294678.04;2607826748.82;1789806151.05;2376845407.93;2167299159.91;2453138200.18;2416298049.33;2580134445.76;2488201400.29;2867359215.08;326048308.62;3050387180.67
Місцеві бюджети;Полтавська обл.;0700 Охорона здоров'я;3700342937.06;3619053189.82;2604840412.14;2694285110.04;2108657653.65;2197679371.92;1856398852.74;1933671476.14;2462397854.23;2650481311.74;2588329841.1;2714578021.41;2434887418.35;2514114752.65;2218815729.14;2338443008.38;258413036.62;2022608802.17
Місцеві бюджети;Полтавська обл.;0800 Духовний та фізичний розвиток;876613932.13;901293166.2;1008093441.77;1024617943.74;1021908413.34;1073406714.83;1220033723.06;1226319663.01;1188032554.31;1266845604.31;1414399174.02;1483354374.2;1579701525.68;1619373876.09;1690730573.58;1701541257.02;245418232.99;1745990220.43
Місцеві бюджети;Полтавська обл.;0900 Освіта;6115704763.76;6226095768.36;7089053190.33;7325514959.18;7187326514.97;7653171465.43;9134096950.84;9315076751.63;9064618934.4;9783920593.45;9988481444.07;10412347803.47;11466436788.7;12030478997.63;12830186587.38;13307872348.31;1996495291.56;12570624232.32
