ADMIN1;ADMIN2;FUNC1;2018_EXECUTED;2018_ADJUSTED;2019_EXECUTED;2019_ADJUSTED;2020_EXECUTED;2020_ADJUSTED;2021_EXECUTED;2021_ADJUSTED;2022_EXECUTED;2022_ADJUSTED;2023_EXECUTED;2023_ADJUSTED;2024_EXECUTED;2024_ADJUSTED;2025_EXECUTED;2025_ADJUSTED;2026_EXECUTED;2026_ADJUSTED
Місцеві бюджети;Вінницька обл.;0800 Духовний та фізичний розвиток;762273226.58;771651964.43;897573665.4;907146930.87;866483575.35;876920175.12;962304929.49;962776458.51;1041934254.95;1043091058.18;1213209080.59;1224449677.98;1337986765.64;1346449622.68;1478616943.37;1484851194.52;210175338.28;1566369801
Місцеві бюджети;Вінницька обл.;0900 Освіта;6657063946.15;6766249570.23;7492182258.98;7436210400.16;8044504760.57;8244916073.96;9841394480.15;9997910682.32;9936889815.08;10266130977.9;10992008638.86;11055838947.94;12697906878.64;12720932955.54;14099866520.2;13906259295.82;2399402456;13955306664.89
Місцеві бюджети;Вінницька обл.;1000 Соціальний захист та соціальне забезпечення;6513066589.1;6549344926.85;4075711461.03;4578931510.07;789436463.56;800173888.34;973439020.67;975188047.12;1185545131.36;1176813272.49;1781496180.04;1740742685.95;2158303441.91;2126799121.38;2596193127.69;2610898449.89;290412017.1;2173211141.7
Місцеві бюджети;Вінницька обл.;-9 не існує;;;;;;;;;;;;;;;;;0;24233760
Місцеві бюджети;Волинська обл.;;20762008439.54;22389286704.8;18964053896.74;20494166807.48;12984016451.57;13971048522.06;13915781566.75;14640748921.41;12655610316.45;15018766048.49;17784600993.45;19418507025.59;18206184628.69;19445091797;20525290832.05;21883256201.04;3105716715.76;20156365476.73
Місцеві бюджети;Волинська обл.;0100 Загальнодержавні функції;6447550228.54;6696909896.5;5336175400.53;5878834718.52;2380440820.3;2537491671.78;2040156683.28;2171657887.53;1755477985.81;2309727792.75;3279141892.21;3693109377.44;2823218405.06;2987224695.16;3565144986.74;3806289709.36;496591338.95;3187738588.9
Місцеві бюджети;Волинська обл.;0300 Громадський порядок, безпека та судова влада;25788581.68;27740890.52;28430076.1;30469031.02;38683475.17;40924248.36;41457660.65;43184731.44;199351202.28;244339282.59;438789614.38;560643066.53;769465238.5;805509942.88;490572007.13;512888927.12;61409176.43;507740964
Місцеві бюджети;Волинська обл.;0400 Економічна діяльність;1632609202.7;2844377806.33;1570349509.34;2002346435.41;1880396146.84;2301267151.63;1991946148.11;2289019306.83;822316453.87;1796868880.12;2299523618.99;2798035674.67;1426398560.15;1975602082.58;1312385659.71;1781294535.49;88736586.78;1162112964.13
Місцеві бюджети;Волинська обл.;0500 Охорона навколишнього природного середовища;10992040.31;16228708.93;42956128.87;51321147.37;13365895.81;19095901.87;17558887.4;22255541.61;8860803.11;17343935.31;18116647.45;29859316.19;18350932.31;22847689.5;24340383.6;33720147.15;0;12792586.14
Місцеві бюджети;Волинська обл.;0600 Житлово-комунальне господарство;381956504.24;399351496.7;460099758.64;484018580.66;479238425.98;519277848.16;562873176.2;611005536.33;449073076.03;620424765.26;898854331.71;1034829432.86;915414458.87;967159072.33;1188777522.77;1272227323.7;120126647.36;1258500472
Місцеві бюджети;Волинська обл.;0700 Охорона здоров'я;2183254129.16;2139589430.31;2024481794.99;2051539123.99;1038632434.84;1059834675.13;469362091.86;492180302.43;570745518.72;630584339.6;710302332.8;778728345.73;567924060.27;589492030.22;695638274.38;761209073.3;121961897.88;752910360.76
Місцеві бюджети;Волинська обл.;0800 Духовний та фізичний розвиток;459695417.37;460626541.79;539601281.98;525560583.94;517138378.49;521309864.2;608106814.6;593898745.25;563049826.46;623644436.26;718798257.52;764163802.39;773502447.83;797644000.96;862753370.93;869421721.18;127315395.7;951538520
Місцеві бюджети;Волинська обл.;0900 Освіта;5092219053.2;5184125120.26;5714437673.25;5905396484.54;6226620426.23;6550178853.87;7727054903.88;7955198514.95;7699652597.81;8190068717.35;8603265586.11;8940191685.34;9880924472.33;10271632965.05;11042764516.71;11482941416.86;1913607522.35;11121398172.8
Місцеві бюджети;Волинська обл.;1000 Соціальний захист та соціальне забезпечення;4527943282.34;4620336813.46;3247522273.04;3564680702.03;409500447.91;421668307.06;457265200.77;462348355.04;587082852.36;585763899.25;817808712.28;818946324.44;1030986053.37;1027979318.32;1342514110.08;1362863346.88;169894368.92;1134734918
Місцеві бюджети;Волинська обл.;-9 не існує;;;;;;;;;;;;;;;400000;400000;6073781.39;66897930
Місцеві бюджети;Дніпропетровська обл.;;66737910868.27;69642803206.85;60409611299.2;64010580803.76;46985816630.02;51695965758.58;59974780867.76;64536713719.39;51063384467.39;64352658296.01;70541602044.81;79107960535.34;70249945149.38;75657711042.09;80626734608.84;86341444757.55;10271893065.58;75563291073.75
Місцеві бюджети;Дніпропетровська обл.;0100 Загальнодержавні функції;19143204495.32;19425187947.79;14132763189.51;14651646554.37;8111919567.34;8494940478.34;9685752577.32;9971826574.46;7567411921.3;12162320440.69;12985170734.4;14164553592.4;11295575552.03;12205587530.68;16233145051.86;16955535456.68;2519005582.63;17046718981.74
Місцеві бюджети;Дніпропетровська обл.;0300 Громадський порядок, безпека та судова влада;139616967.69;144596252.29;157796006.98;161307993.8;162746773.29;173349416.05;183952733.62;191156258.78;1686968624.91;1893969701.96;2504928708.59;2637211165.32;1734860454.36;1963819276.96;1225708431.07;1309305842.11;152419227.04;1032852779
Місцеві бюджети;Дніпропетровська обл.;0400 Економічна діяльність;8928982719.49;10540913635.21;9009934957.3;10705645417.99;10377853397.12;12445559698.86;16244328760.31;19333409481.93;10448747639.23;15683053879.29;15215489490.82;22180540232.71;12602865968.88;15101684170.13;12590578010.43;14361424022.77;836286594.07;7060675654.58
Місцеві бюджети;Дніпропетровська обл.;0500 Охорона навколишнього природного середовища;450802373.26;661926415.03;465409317.8;696183714.2;449887798.34;566431409.46;441569228.64;562965833.87;69716962.02;283718346.63;222834283.68;306209564.72;78189462.39;193356198.71;291242866.36;512001521.28;372339.46;319546885.25
Місцеві бюджети;Дніпропетровська обл.;0600 Житлово-комунальне господарство;3789873290.61;3957726574.55;4491915753.63;4578620868.99;3753261734.53;3957470301.89;5129600054.67;5518621256.76;4436408850.99;4776962716.8;9306259816.81;8486693823.5;9233802756.62;9366515514.71;10885886646.32;11900447431.38;989606873.36;10520796695.85
Місцеві бюджети;Дніпропетровська обл.;0700 Охорона здоров'я;8131574219.4;8319645806.52;7757255511.18;7971955055.36;4699537114.49;5026254182.94;3304534469.41;3628322787.48;3214390665.11;3546619934.74;3712100993.75;3866427327.18;3715227648.08;3934054035.87;4593489838.37;4930006742.18;429696544.22;4231859586
Місцеві бюджети;Дніпропетровська обл.;0800 Духовний та фізичний розвиток;1367067289.8;1411813720.72;1595876869.14;1623817120.16;1618502260.96;1878439450.84;2389287642.61;2369960731.8;1812791477.56;2066450837.96;2081158953.57;2208795321.55;2406233421.53;2513362385.58;2585283635.38;2670406331.16;371732530.95;2854779441.27
Місцеві бюджети;Дніпропетровська обл.;0900 Освіта;13938950273.24;14310509115.26;15319102056.23;15845861228.53;15799696031.04;17057863979.27;20157106193.79;20506385942.81;18978351586.26;20802468187.57;20091949461.67;20805084340.04;23749482030.83;24850490747.74;27222331741.81;28573757149.42;4281136852.32;27099212880.69
