тип фонду;код;найменування коду;початковий річний план;уточнений річний план;уточнений план за період;відкрито асигнувань за період;направлено асигнувань за період;виконано за період;відхилення до уточненого плану за період;відсоток виконання до уточненого плану за період;відсоток виконання до уточненого річного плану
TOTAL;0411010;Обслуговування та організаційне, інформаційно-аналітичне та матеріально-технічне забезпечення діяльності Кабінету Міністрів України;1147820700;1260117458.77;;;;1185446441.14;;;94.07
TOTAL;0411070;"Фінансова підтримка газети ""Урядовий кур'єр""";25731700;25731700;;;;21036049.69;;;81.75
TOTAL;0411130;Інформаційно-аналітичне та організаційне забезпечення оперативного реагування органів виконавчої влади;190381300;206131229.27;;;;204237753.89;;;99.08
TOTAL;0411170;Забезпечення функціонування офісу із залучення та підтримки інвестицій;50903600;50903600;;;;31680412.93;;;62.23
TOTAL;0411190;Заходи з підтримки розвитку лідерства в Україні;9500000;9500000;;;;9396433;;;98.9
TOTAL;0411200;Організаційне, матеріально-технічне, інформаційне та інше забезпечення діяльності Національної ради України з питань розвитку науки і технологій;155700;155700;;;;67095.03;;;43.09
TOTAL;0411240;Функціонування інституції з підтримки та просування експорту;36815000;36815000;;;;33805122.77;;;91.82
TOTAL;0411250;"Забезпечення функціонування бюджетної установи ""Центр гуманітарного розмінування""";49790200;49790200;;;;23108172.16;;;46.41
TOTAL;0412000;Державна служба України з питань безпечності харчових продуктів та захисту споживачів;7420561700;7957822515.01;;;;7320493596.68;;;91.99
TOTAL;0412010;Керівництво та управління у сфері безпечності харчових продуктів та захисту споживачів;2838439300;2916305415.5;;;;2560143014.11;;;87.78
TOTAL;0412020;Протиепізоотичні заходи та участь у Всесвітній організації охорони здоров’я тварин (МЕБ);703639800;761926595.46;;;;753953293.14;;;98.95
TOTAL;0412030;Організація та регулювання діяльності установ в системі Державної служби України з питань безпечності харчових продуктів та захисту споживачів;3826880200;4227988104.05;;;;3977234040.93;;;94.06
TOTAL;0412040;Проведення лабораторних випробувань, вимірювань, досліджень та експертизи під час здійснення державного контролю (нагляду);51602400;51602400;;;;29163248.5;;;56.51
TOTAL;0413000;Державна служба України з етнополітики та свободи совісті;38915400;39064900;;;;36040172.36;;;92.25
TOTAL;0413010;Керівництво та управління у сфері етнополітики та свободи совісті;28687100;28836600;;;;28217652.36;;;97.85
TOTAL;0413020;Реалізація прав і свобод національних меншин (спільнот) та корінних народів України;10228300;10228300;;;;7822520;;;76.47
TOTAL;0414000;Державна служба статистики України;1661599400;1708662052.83;;;;1628431818.01;;;95.3
TOTAL;0414010;Керівництво та управління у сфері статистики;1587968000;1635030652.83;;;;1591254714.52;;;97.32
TOTAL;0414020;Статистичні спостереження;53858000;53858000;;;;21320612.23;;;39.58
TOTAL;0414030;Щоквартальна грошова компенсація за витрату часу, пов’язану з веденням записів та наданням інших відомостей;3563400;3563400;;;;0;;;0
TOTAL;0414040;Наукова і науково-технічна діяльність у сфері державної статистики;659400;659400;;;;650000;;;98.57
TOTAL;0414090;Підготовка кадрів у сфері статистики закладом вищої освіти та забезпечення діяльності його баз практики;15550600;15550600;;;;15206491.26;;;97.78
TOTAL;0418000;Комісія з регулювання азартних ігор та лотерей;76892500;76892500;;;;68696799.07;;;89.34
TOTAL;0418010;Керівництво та управління у сфері регулювання азартних ігор та лотерей;76892500;76892500;;;;68696799.07;;;89.34
TOTAL;0419000;Державне агентство України з питань кіно;663395600;665961100;;;;637533536.97;;;95.73
TOTAL;0419010;Керівництво та управління у сфері кінематографії;28719200;30719200;;;;30178510.82;;;98.23
TOTAL;0419030;Державна підтримка кінематографії, у тому числі документування воєнних злочинів;634676400;635241900;;;;607355026.15;;;95.61
TOTAL;0500000;Державна судова адміністрація України;20601186300;21071046614.54;;;;19876814411.96;;;94.33
TOTAL;0501000;Апарат Державної судової адміністрації України;20601186300;21071046614.54;;;;19876814411.96;;;94.33
TOTAL;0501020;Забезпечення здійснення правосуддя місцевими, апеляційними судами та функціонування органів і установ системи правосуддя;20591186300;21061046614.54;;;;19866939247.39;;;94.33
TOTAL;0501150;Виконання рішень судів на користь суддів, працівників апаратів судів та працівників органів і установ системи правосуддя;10000000;10000000;;;;9875164.57;;;98.75
TOTAL;0550000;Верховний Суд;2387813800;2389474833.05;;;;1999105416.12;;;83.66
TOTAL;0551000;Апарат Верховного Суду;2387813800;2389474833.05;;;;1999105416.12;;;83.66
TOTAL;0551010;Здійснення правосуддя Верховним Судом;2387813800;2389474833.05;;;;1999105416.12;;;83.66
TOTAL;0800000;Конституційний Суд України;333843600;333866594.11;;;;312581296.31;;;93.62
TOTAL;0801000;Конституційний Суд України;333843600;333866594.11;;;;312581296.31;;;93.62
TOTAL;0801010;Забезпечення конституційної юрисдикції в Україні;333843600;333866594.11;;;;312581296.31;;;93.62
TOTAL;0850000;Вищий антикорупційний суд;390371600;402342588.91;;;;352213295.4;;;87.54
TOTAL;0851000;Апарат Вищого антикорупційного суду;390371600;402342588.91;;;;352213295.4;;;87.54
TOTAL;0851010;Здійснення правосуддя Вищим антикорупційним судом;276694000;284224249.54;;;;253099490.62;;;89.04
TOTAL;0851020;Здійснення правосуддя Апеляційною палатою Вищого антикорупційного суду;113677600;118118339.37;;;;99113804.78;;;83.91
TOTAL;0900000;Офіс Генерального прокурора;14588097800;15000583090.07;;;;14558980149.41;;;97.05
TOTAL;0901000;Офіс Генерального прокурора;14588097800;15000583090.07;;;;14558980149.41;;;97.05
TOTAL;0901010;Здійснення прокурорської діяльності, підготовка та підвищення кваліфікації працівників органів прокуратури;14384778200;14708389665.64;;;;14326144228.75;;;97.4
TOTAL;0901030;Забезпечення функцій Спеціалізованою антикорупційною прокуратурою;203319600;292193424.43;;;;232835920.66;;;79.68
TOTAL;0950000;Вищий суд з питань інтелектуальної власності;1723900;1723900;;;;778306.47;;;45.14
TOTAL;0951000;Апарат Вищого суду з питань інтелектуальної власності;1723900;1723900;;;;778306.47;;;45.14
TOTAL;0951010;Здійснення правосуддя Вищим судом з питань інтелектуальної власності;1723900;1723900;;;;778306.47;;;45.14
TOTAL;1000000;Міністерство внутрішніх справ України;432794362100;488087326712.26;;;;483241933661.51;;;99
TOTAL;1001000;Апарат Міністерства внутрішніх справ України;19430054400;20379739119.49;;;;18773276792.85;;;92.11
TOTAL;1001010;Керівництво та управління діяльністю Міністерства внутрішніх справ України;860164000;878095289;;;;878095286.6;;;99.99
TOTAL;1001050;Забезпечення діяльності органів, установ та закладів Міністерства внутрішніх справ України, підготовка кадрів закладами вищої освіти із специфічними умовами навчання;17023946000;18050023304.49;;;;17555230752.56;;;97.25
TOTAL;1001170;Наукове та інформаційно-аналітичне забезпечення заходів по боротьбі з організованою злочинністю і корупцією;7571800;7567446;;;;7567132.86;;;99.99
TOTAL;1001220;Створення єдиної авіаційної системи безпеки та цивільного захисту;1538372600;1444053080;;;;332383620.83;;;23.01
TOTAL;1002000;Адміністрація Державної прикордонної служби України;103824938100;114301588970.08;;;;113257536323.1;;;99.08
TOTAL;1002010;Керівництво та управління у сфері охорони державного кордону України;658925100;632162100;;;;632162100;;;100
TOTAL;1002030;Забезпечення виконання завдань, функцій та підготовка кадрів Державної прикордонної служби України;100776063100;110600918608.08;;;;110227010918.26;;;99.66
TOTAL;1002070;Будівництво (придбання) житла для військовослужбовців Державної прикордонної служби України;150000000;602231500;;;;602231428.8;;;99.99
TOTAL;1002110;Розвідувальна діяльність у сфері захисту державного кордону;692083000;645227153;;;;643281926.57;;;99.69
TOTAL;1002150;Cтворення системи охорони морських кордонів;1231984900;1231984900;;;;879677431.06;;;71.4
TOTAL;1002600;Реалізація проекту із закупівлі безпілотних авіаційних систем та засобів моніторингу державного кордону;315882000;315882000;;;;0;;;0
TOTAL;1002700;Надання компенсації об'єктам державної власності, у будівлях (приміщеннях) яких в умовах воєнного стану на безоплатній основі розміщувалися внутрішньо переміщені особи;0;827709;;;;827645.99;;;99.99
TOTAL;1002710;Здійснення заходів, пов’язаних із зміцненням обороноздатності держави;0;234086000;;;;234075872.42;;;99.99
TOTAL;1002720;Забезпечення фінансування нагальних потреб оборони;0;38269000;;;;38269000;;;100
TOTAL;1003000;Національна гвардія України;152529393600;168855086165.08;;;;168139980041.63;;;99.57
TOTAL;1003010;Керівництво та управління Національною гвардією України;568825500;708720500;;;;708720500;;;100
TOTAL;1003020;Забезпечення виконання завдань, функцій та підготовка кадрів Національної гвардії України;151607408000;167490317146.69;;;;166781134881.73;;;99.57
TOTAL;1003090;Будівництво (придбання) житла для військовослужбовців Національної гвардії України;353160100;327132518.39;;;;321209028.05;;;98.18
TOTAL;1003700;Забезпечення фінансування нагальних потреб оборони;0;62491000;;;;62490631.85;;;99.99
TOTAL;1003710;Здійснення заходів, пов’язаних із зміцненням обороноздатності держави;0;266425000;;;;266425000;;;100
TOTAL;1004000;Державна міграційна служба України;5618055700;4932241983;;;;4366393509.67;;;88.52
TOTAL;1004010;Керівництво та управління у сфері міграції, громадянства, імміграції та реєстрації фізичних осіб;171169400;173850925;;;;173478802.92;;;99.78
TOTAL;1004020;Забезпечення виконання завдань та функцій у сфері громадянства, імміграції та реєстрації фізичних осіб;5444899200;4756403958;;;;4190938268.33;;;88.11
TOTAL;1004070;Внески до Міжнародної організації з міграції;1987100;1987100;;;;1976438.42;;;99.46
TOTAL;1006000;Державна служба України з надзвичайних ситуацій;45881568800;56231506705.61;;;;55600480311.7;;;98.87
TOTAL;1006010;Керівництво та управління у сфері надзвичайних ситуацій;319492500;387713775;;;;386802607.25;;;99.76
TOTAL;1006060;Гідрометеорологічна діяльність;1020981400;1064532734;;;;1053955185.41;;;99
TOTAL;1006070;Наукова і науково-технічна діяльність у сфері гідрометеорології;49141500;54921931;;;;51697141.33;;;94.12
TOTAL;1006110;Будівництво (придбання) житла для осіб рядового і начальницького складу Державної служби України з надзвичайних ситуацій;190000000;179424464;;;;179424461.66;;;99.99
TOTAL;1006160;Реалізація Програми екстреного відновлення на придбання обладнання та конструкцій для гуманітарного розмінування;0;728000000;;;;728000000;;;100
TOTAL;1006280;Забезпечення діяльності органів та підрозділів цивільного захисту, підготовка кадрів Державною службою України з надзвичайних ситуацій;44301953400;53816913801.61;;;;53200600916.05;;;98.85
TOTAL;1007000;Національна поліція України;105510351500;123387163769;;;;123104266682.56;;;99.77
TOTAL;1007010;Керівництво та управління діяльністю Національної поліції України;2263534300;2269352600;;;;2269352600;;;100
TOTAL;1007020;Забезпечення діяльності органів, установ та закладів Національної поліції України;103246817200;120998322169;;;;120715425082.56;;;99.76
TOTAL;1007700;Здійснення заходів, пов’язаних із зміцненням обороноздатності держави;0;119489000;;;;119489000;;;100
TOTAL;1200000;Міністерство економіки України;34166416600;34481541473.56;;;;33836088354.24;;;98.12
TOTAL;1201000;Апарат Міністерства економіки України;32641495800;33005774620.73;;;;32831720970.63;;;99.47
TOTAL;1201010;Керівництво та управління у сфері економіки;728545000;731368620.73;;;;720279011.26;;;98.48
TOTAL;1201030;Забезпечення двостороннього співробітництва України з іноземними державами та міжнародними організаціями, інформаційне та організаційне забезпечення участі України у міжнародних форумах, конференціях, виставках;58662700;58662700;;;;48185583.85;;;82.14
TOTAL;1201080;"Ліквідація та екологічна реабілітація території впливу гірничих робіт державного підприємства ""Солотвинський солерудник"" Тячівського району Закарпатської області";6511100;0;;;;0;;;
TOTAL;1201220;Наукова і науково-технічна діяльність у сфері економічного розвитку, стандартизації, метрології та метрологічної діяльності;18054400;18054400;;;;17213065.59;;;95.34
TOTAL;1201280;Виплати працівникам, які вивільняються з роботи у зв’язку із достроковим зняттям з експлуатації Чорнобильської АЕС;2520400;2520400;;;;2147942.28;;;85.22
TOTAL;1201310;Часткова компенсація вартості сільськогосподарської техніки та обладнання вітчизняного виробництва;1000000000;900169700;;;;876725670.83;;;97.39
TOTAL;1201320;Виконання судових рішень, що набрали законної сили;1455600;1455600;;;;1455600;;;100
TOTAL;1201330;"Здійснення заходів з обов’язкового проведення тендерів ДУ ""Професійні закупівлі""";7066400;7066400;;;;5828552.57;;;82.48
TOTAL;1201340;Державне стимулювання створення індустріальних парків;1000000000;925051610;;;;925051609.75;;;99.99
TOTAL;1201350;Надання грантів для створення або розвитку бізнесу;1370000000;1388694962;;;;1373324256;;;98.89
TOTAL;1201360;Забезпечення державної підтримки реалізації інвестиційних проектів із значними інвестиціями;3000000000;0;;;;0;;;
TOTAL;1201380;Реалізація приватним акціонерним товариством «Українська фінансова житлова компанія» житлової політики держави шляхом забезпечення громадян України житлом;1443728700;1783000038;;;;1783000038;;;100
TOTAL;1201420;Компенсація витрат за гуманітарне розмінування земель сільськогосподарського призначення;3000000000;434455760;;;;434455752.08;;;99.99
TOTAL;1201430;Підтримка внутрішнього попиту на вітчизняні товари та послуги;3000000000;8750322930;;;;8639441548.76;;;98.73
TOTAL;1201450;Забезпечення функціонування Фонду розвитку підприємництва;18000000000;18000000000;;;;18000000000;;;100
TOTAL;1201580;Заходи із посилення інституційної спроможності для підготовки проектів державно-приватного партнерства;4951500;4951500;;;;4612339.66;;;93.15
TOTAL;1203000;Державне агентство резерву України;721056500;664657118;;;;249080706.9;;;37.47
TOTAL;1203010;Керівництво та управління у сфері державного резерву;40160100;40161516;;;;35232450.56;;;87.72
TOTAL;1203020;Обслуговування державного матеріального резерву;360464700;304063902;;;;213848256.34;;;70.33
TOTAL;1203040;Накопичення (приріст) матеріальних цінностей державного матеріального резерву;320431700;320431700;;;;0;;;0
TOTAL;1206000;Державна служба з питань праці;753523200;754886331.27;;;;700405489.2;;;92.78
TOTAL;1206010;Керівництво та управління у сфері промислової безпеки, охорони та гігієни праці, нагляду за додержанням законодавства про працю;743537800;748994102.71;;;;694539465.99;;;92.72
TOTAL;1206020;Наукова і науково-технічна діяльність у сфері промислової безпеки та охорони праці;9985400;5892228.56;;;;5866023.21;;;99.55
TOTAL;1208000;Державна служба експортного контролю України;50341100;56223403.56;;;;54881187.51;;;97.61
TOTAL;1208010;Керівництво та управління у сфері експортного контролю;50341100;56223403.56;;;;54881187.51;;;97.61
TOTAL;1210000;Міністерство економіки України (загальнодержавні видатки та кредитування);107427600;107493306.69;;;;105793649.83;;;98.41
TOTAL;1211000;Міністерство економіки України (загальнодержавні видатки та кредитування);107427600;107493306.69;;;;105793649.83;;;98.41
TOTAL;1211050;Мобілізаційна підготовка галузей національної економіки України;107427600;107493306.69;;;;105793649.83;;;98.41
TOTAL;1400000;Міністерство закордонних справ України;8290762400;8386688906.04;;;;6779744455.3;;;80.83
TOTAL;1401000;Апарат Міністерства закордонних справ України;8290762400;8386688906.04;;;;6779744455.3;;;80.83
TOTAL;1401010;Керівництво та управління у сфері державної політики щодо зовнішніх відносин;451566900;501124609.37;;;;492279286.59;;;98.23
TOTAL;1401020;Внески України до бюджетів ООН, органів і спеціалізованих установ системи ООН, інших міжнародних організацій та конвенційних органів;510973300;510973300;;;;509966415.41;;;99.8
TOTAL;1401030;Функціонування закордонних дипломатичних установ України та розширення мережі власності України для потреб цих установ;7147789300;7066704689;;;;5502396987.65;;;77.86
TOTAL;1401050;Реалізація Міністерством закордонних справ України повноважень з проведення зовнішньої політики України, організація і контроль за діяльністю закордонних дипломатичних установ України;32433000;32433000;;;;22887134.63;;;70.56
TOTAL;1401100;Професійне навчання посадових осіб дипломатичної служби та працівників інших державних органів у сфері зовнішніх зносин;19852900;21632197.89;;;;21190885.55;;;97.95
TOTAL;1401110;Фінансова підтримка забезпечення міжнародного позитивного іміджу України, забезпечення діяльності Українського інституту, заходи щодо підтримки зв'язків з українцями, які проживають за межами України;80202200;80841996.88;;;;74189691.04;;;91.77
TOTAL;1401130;Документування громадян та створення і забезпечення функціонування інформаційно-комунікаційних систем консульської служби;47944800;172979112.9;;;;156834054.43;;;90.66
TOTAL;1500000;Міністерство у справах ветеранів України;2958974900;2014526411.41;;;;1990253887.16;;;98.79
TOTAL;1501000;Апарат Міністерства у справах ветеранів України;2958974900;2014526411.41;;;;1990253887.16;;;98.79
TOTAL;1501010;Керівництво та управління у справах ветеранів;174083900;177117740.02;;;;172434357.53;;;97.35
TOTAL;1501030;Заходи з формування позитивного образу ветеранів війни, виготовлення бланків посвідчень та нагрудних знаків, розвитку ветеранського руху, вшанування пам'яті Захисників та Захисниць України;23586800;11008100;;;;10215429.74;;;92.79
TOTAL;1501040;Заходи з ментальної, спортивної, фізичної, психологічної реабілітації та професійної адаптації;1588235000;158762196.39;;;;141099125.92;;;88.87
TOTAL;1501090;Функціонування Українського ветеранського фонду, у тому числі здійснення фондом заходів з підтримки проектів;247687900;292233775;;;;291250900.62;;;99.66
TOTAL;1501100;Виплата одноразової грошової допомоги в разі загибелі (смерті) або інвалідності деяких категорій осіб відповідно до Закону України «Про статус ветеранів війни, гарантії їх соціального захисту»;409829900;863549700;;;;863501061.42;;;99.99
TOTAL;1501110;Створення та функціонування Національного військового меморіального кладовища;515551400;507930400;;;;507828511.93;;;99.97
TOTAL;1501700;Надання одноразової грошової допомоги членам сімей осіб, які загинули (померли) під час участі в антитерористичній операції, здійсненні заходів із забезпечення національної безпеки і оборони, відсічі і стримування збройної агресії Російської Федераці;0;3924500;;;;3924500;;;100
TOTAL;1510000;Міністерство у справах ветеранів України (загальнодержавні видатки та кредитування);9595255800;10614653300;;;;10461907705.85;;;98.56
TOTAL;1511000;Міністерство у справах ветеранів України (загальнодержавні видатки та кредитування);9595255800;10614653300;;;;10461907705.85;;;98.56
TOTAL;1511040;Субвенція з державного бюджету місцевим бюджетам на виплату грошової компенсації за належні для отримання жилі приміщення для сімей осіб, визначених пунктами 2 - 5 частини першої статті 10-1 Закону України «Про статус ветеранів війни, гарантії їх соціального захисту», для осіб з інвалідністю I - II групи, яка настала внаслідок поранення, контузії, каліцтва або захворювання, одержаних під час безпосередньої участі в антитерористичній операції, забезпеченні її проведення, здійсненні заходів із забезпечення національної безпеки і оборони, відсічі і стримування збройної агресії Російської Федерації у Донецькій та Луганській областях, забезпеченні їх здійснення, у заходах, необхідних для забезпечення оборони України, захисту безпеки населення та інтересів держави у зв'язку з військовою агресією Російської Федерації проти України, визначених пунктами 11-14 частини другої статті 7 Закону України «Про статус ветеранів війни, гарантії їх соціального захисту», та які потребують поліпшення житлових умов;2997556800;4169788322;;;;4145062850.59;;;99.4
TOTAL;1511050;Субвенція з державного бюджету місцевим бюджетам на виплату грошової компенсації за належні для отримання жилі приміщення для внутрішньо переміщених осіб, які захищали незалежність, суверенітет та територіальну цілісність України і брали безпосередню участь в антитерористичній операції, забезпеченні її проведення, перебуваючи безпосередньо в районах антитерористичної операції у період її проведення, у здійсненні заходів із забезпечення національної безпеки і оборони, відсічі і стримування збройної агресії Російської Федерації у Донецькій та Луганській областях, забезпеченні їх здійснення, перебуваючи безпосередньо в районах та у період здійснення зазначених заходів, та визнані особами з інвалідністю внаслідок війни ІІІ групи відповідно до пунктів 11-14 частини другої статті 7 або учасниками бойових дій відповідно до пунктів 19-21 частини першої статті 6 Закону України «Про статус ветеранів війни, гарантії їх соціального захисту», та які потребують поліпшення житлових умов;2352737500;5706409578;;;;5675872824.67;;;99.46
TOTAL;1511060;Субвенція з державного бюджету місцевим бюджетам на виплату грошової компенсації за належні для отримання жилі приміщення для сімей учасників бойових дій на території інших держав, визначених у абзаці першому пункту 1 статті 10 Закону України «Про статус ветеранів війни, гарантії їх соціального захисту», для осіб з інвалідністю I-II групи з числа учасників бойових дій на території інших держав, інвалідність яких настала внаслідок поранення, контузії, каліцтва або захворювання, пов’язаних з перебуванням у цих державах, визначених пунктом 7 частини другої статті 7 Закону України «Про статус ветеранів війни, гарантії їх соціального захисту», та які потребують поліпшення житлових умов;399486500;641110081;;;;624930704.06;;;97.47
TOTAL;1511090;Субвенція з державного бюджету місцевим бюджетам на забезпечення діяльності фахівців із супроводу ветеранів війни та демобілізованих осіб та окремі заходи з підтримки осіб, які захищали незалежність, суверенітет та територіальну цілісність України;3845475000;97345319;;;;16041326.53;;;16.47
TOTAL;2100000;Міністерство оборони України;1537711661800;2235551331729.03;;;;2229133474845.72;;;99.71
TOTAL;2101000;Апарат Міністерства оборони України;1504625505100;2197456576567.93;;;;2191072409900.44;;;99.7
TOTAL;2101010;Керівництво та військове управління у сфері оборони;663756000;682744829;;;;674314898.8;;;98.76
TOTAL;2101020;Забезпечення діяльності Збройних Сил України, підготовка кадрів і військ, медичне забезпечення особового складу, ветеранів військової служби та членів їхніх сімей, ветеранів війни;1023538367400;1186263412043.19;;;;1184841250323.49;;;99.88
TOTAL;2101150;Розвиток, закупівля, модернізація та ремонт озброєння, військової техніки, засобів та обладнання;480299383900;984989841800.54;;;;980119705140.37;;;99.5
TOTAL;2101190;Будівництво (придбання) житла для військовослужбовців Збройних Сил України;100750000;183992486.68;;;;164746843.04;;;89.53
TOTAL;2101210;Утилізація боєприпасів, рідинних компонентів ракетного палива, озброєння, військової техніки та іншого військового майна, забезпечення живучості та вибухопожежобезпеки арсеналів, баз і складів Збройних Сил України;23247800;45192417.52;;;;32374831.49;;;71.63
TOTAL;2101700;Будівництво військових інженерно-технічних та фортифікаційних споруд;0;1417600000;;;;1417599999.16;;;99.99
TOTAL;2101710;Забезпечення фінансування нагальних потреб оборони;0;646300000;;;;646299943.16;;;99.99
TOTAL;2101720;Будівництво військових інженерно-технічних і фортифікаційних споруд, фортифікаційне обладнання оборонних рубежів, улаштування системи невибухових загороджень;0;1155672991;;;;1139300387.92;;;98.58
TOTAL;2101730;Придбання обладнання оборонного призначення;0;22000000000;;;;21964997533.01;;;99.84
TOTAL;2101740;Здійснення заходів, пов’язаних із зміцненням обороноздатності держави;0;71820000;;;;71820000;;;100
TOTAL;2105000;Адміністрація Державної спеціальної служби транспорту України;33086156700;38094755161.1;;;;38061064945.28;;;99.91
TOTAL;2105010;Забезпечення діяльності Державної спеціальної служби транспорту;33086156700;36499755161.1;;;;36466065047.24;;;99.9
TOTAL;2105700;Будівництво військових інженерно-технічних та фортифікаційних споруд;0;1071000000;;;;1070999998.04;;;99.99
TOTAL;2105710;Забезпечення фінансування нагальних потреб оборони;0;10700000;;;;10699900;;;99.99
TOTAL;2105720;Надання одноразової грошової допомоги сім’ям загиблих військовослужбовців;0;513300000;;;;513300000;;;100
TOTAL;2200000;Міністерство освіти і науки України;60537285000;68147477685.76;;;;58098353685.64;;;85.25
TOTAL;2201000;Апарат Міністерства освіти і науки України;60317433200;67927625885.76;;;;57888849192.48;;;85.22
TOTAL;2201010;Загальне керівництво та управління у сфері освіти і науки;251149700;253225255;;;;248931949.71;;;98.3
TOTAL;2201020;Забезпечення організації роботи Національного агентства із забезпечення якості вищої освіти, Національного агентства кваліфікацій, освітнього омбудсмена;232531900;262022811.75;;;;180897913.13;;;69.03
TOTAL;2201030;Забезпечення здобуття професійної (професійно-технічної) освіти за професіями загальнодержавного значення;250000000;200823700;;;;186144777;;;92.69
TOTAL;2201040;Наукова і науково-технічна діяльність закладів вищої освіти та наукових установ;1270086100;2362238312.39;;;;2028695463.69;;;85.88
TOTAL;2201070;Забезпечення діяльності Фонду Президента України з підтримки освіти, науки та спорту;42920400;42920400;;;;22074600;;;51.43
TOTAL;2201080;Державні премії, стипендії та гранти в галузі освіти, науки і техніки, стипендії переможцям міжнародних конкурсів;117808600;117808600;;;;108063260.79;;;91.72
TOTAL;2201100;Надання освіти закладами загальної середньої освіти державної форми власності та освітніх послуг державною установою для осіб, які перебувають у закладах охорони здоров’я;453007500;656924369.3;;;;644171029.65;;;98.05
TOTAL;2201120;Забезпечення діяльності Національного центру «Мала академія наук України», надання позашкільної освіти державними закладами позашкільної освіти, заходи з позашкільної роботи, проведення всеукраїнських та міжнародних олімпіад у сфері освіти;360234100;386566083.34;;;;351149844.82;;;90.83
TOTAL;2201130;Забезпечення здобуття професійної (професійно-технічної) освіти у закладах освіти соціальної реабілітації та адаптації державної форми власності, методичне забезпечення закладів професійної (професійно-технічної) освіти;284645400;281804466.6;;;;277015256.22;;;98.3
