тип фонду;код;найменування коду;початковий річний план;уточнений річний план;уточнений план за період;відкрито асигнувань за період;направлено асигнувань за період;виконано за період;відхилення до уточненого плану за період;відсоток виконання до уточненого плану за період;відсоток виконання до уточненого річного плану
fundType;programCode;programCodeName;yearBeginPlan;yearCorrectionPlan;periodCorrectionPlan;openAllocPeriod;directedAllocPeriod;periodDone;deviationToPeriodCorrectionPlan;percentDoneToPeriodCorrectionPlan;percentDoneToYearCorrectionPlan
;0000;РАЗОМ;3736618570200;4614721569017.02;;;;4486682733858.66;;;97.22
TOTAL;0110000;Управління справами Апарату Верховної Ради України;2953600100;3014164672.31;;;;2917129276.22;;;96.78
TOTAL;0111000;Управління справами Апарату Верховної Ради України;2953600100;3014164672.31;;;;2917129276.22;;;96.78
TOTAL;0111010;Здійснення законотворчої діяльності Верховної Ради України;1418868700;1515974050.95;;;;1438746530.27;;;94.9
TOTAL;0111020;Обслуговування та організаційне, інформаційно-аналітичне, матеріально-технічне забезпечення діяльності Верховної Ради України;1351431900;1314891121.36;;;;1304524047.1;;;99.21
TOTAL;0111090;"Висвітлення діяльності Верховної Ради України через засоби телебачення і радіомовлення та фінансова підтримка видання газети ""Голос України""";183299500;183299500;;;;173858698.85;;;94.84
TOTAL;0300000;Державне управління справами;3139168900;3437059738.4;;;;3316780657.51;;;96.5
TOTAL;0301000;Апарат Державного управління справами;3078635600;3376185817.04;;;;3256730892.9;;;96.46
TOTAL;0301010;Обслуговування та організаційне, інформаційно-аналітичне, матеріально-технічне забезпечення діяльності Президента України та Офісу Президента України;1122585500;1147607187.92;;;;1136969219.56;;;99.07
TOTAL;0301050;Виготовлення державних нагород та пам'ятних знаків;171009200;171009200;;;;170996261.4;;;99.99
TOTAL;0301060;Фінансова підтримка санаторно-курортних закладів та закладів оздоровлення;152348800;102732383.69;;;;98819186.1;;;96.19
TOTAL;0301080;Наукова і науково-технічна діяльність у сфері державного управління, стратегічних проблем внутрішньої та зовнішньої політики і з питань посередництва та примирення при вирішенні колективних трудових спорів (конфліктів);69763200;70865500;;;;69430576.84;;;97.97
TOTAL;0301130;Підготовка науково-педагогічних і наукових кадрів з питань стратегічних проблем внутрішньої і зовнішньої політики;450400;61800;;;;61636.09;;;99.73
TOTAL;0301140;Збереження природно-заповідного фонду в національних природних парках та заповідниках;141112800;123387669.66;;;;121140756.29;;;98.17
TOTAL;0301170;Надання медичних послуг медичними закладами;1340214000;1529509575.77;;;;1521902166.2;;;99.5
TOTAL;0301360;Фінансова підтримка закладів культури і мистецтва;77148700;77148700;;;;77148636.06;;;99.99
TOTAL;0301460;Виплата Державних премій України;4003000;3003000;;;;3003000;;;100
TOTAL;0301700;Кошти для Державного управління справами;0;150860800;;;;57259454.36;;;37.95
TOTAL;0304000;Національна служба посередництва і примирення України;60533300;60873921.36;;;;60049764.61;;;98.64
TOTAL;0304010;Сприяння врегулюванню колективних трудових спорів (конфліктів);60533300;60873921.36;;;;60049764.61;;;98.64
TOTAL;0410000;Господарсько-фінансовий департамент Секретаріату Кабінету Міністрів України;11372462800;12087547955.88;;;;11199973403.7;;;92.65
TOTAL;0411000;Секретаріат Кабінету Міністрів України;1511098200;1639144888.04;;;;1508777480.61;;;92.04
