тип фонду;код;найменування коду;початковий річний план;уточнений річний план;уточнений план за період;відкрито асигнувань за період;направлено асигнувань за період;виконано за період;відхилення до уточненого плану за період;відсоток виконання до уточненого плану за період;відсоток виконання до уточненого річного плану
fundType;programCode;programCodeName;yearBeginPlan;yearCorrectionPlan;periodCorrectionPlan;openAllocPeriod;directedAllocPeriod;periodDone;deviationToPeriodCorrectionPlan;percentDoneToPeriodCorrectionPlan;percentDoneToYearCorrectionPlan
TOTAL;0419010;Керівництво та управління у сфері кінематографії;33628900;30266000;;;;29452999.09;;;97.31
TOTAL;0419030;Державна підтримка кінематографії;1671100000;115600000;;;;32749643.85;;;28.33
TOTAL;0419060;Гранти Президента України молодим діячам мистецтва для створення і реалізації творчих проектів в сфері кінематографії та премії за видатні досягнення у галузі кінематографії;4100000;3690000;;;;180000;;;4.87
TOTAL;0500000;Державна судова адміністрація України;19035436300;16959087697.57;;;;16320028957.45;;;96.23
TOTAL;0501000;Апарат Державної судової адміністрації України;19035436300;16959087697.57;;;;16320028957.45;;;96.23
TOTAL;0501020;Забезпечення здійснення правосуддя місцевими, апеляційними судами та функціонування органів і установ системи правосуддя;19032436300;16958337697.57;;;;16319278957.45;;;96.23
TOTAL;0501150;Виконання рішень судів на користь суддів та працівників апаратів судів;3000000;750000;;;;750000;;;100
TOTAL;0550000;Верховний Суд;2322104100;1928074592.93;;;;1835771224.54;;;95.21
TOTAL;0551000;Апарат Верховного Суду;2322104100;1928074592.93;;;;1835771224.54;;;95.21
TOTAL;0551010;Здійснення правосуддя Верховним Судом;2322104100;1928074592.93;;;;1835771224.54;;;95.21
TOTAL;0800000;Конституційний Суд України;313797800;282425756.5;;;;262923541.29;;;93.09
TOTAL;0801000;Конституційний Суд України;313797800;282425756.5;;;;262923541.29;;;93.09
TOTAL;0801010;Забезпечення конституційної юрисдикції в Україні;313797800;282425756.5;;;;262923541.29;;;93.09
TOTAL;0850000;Вищий антикорупційний суд;592923100;322879924.79;;;;299525927.09;;;92.76
TOTAL;0851000;Апарат Вищого антикорупційного суду;592923100;322879924.79;;;;299525927.09;;;92.76
TOTAL;0851010;Здійснення правосуддя Вищим антикорупційним судом;382071500;226859755.08;;;;210987709.42;;;93
TOTAL;0851020;Здійснення правосуддя Апеляційною палатою Вищого антикорупційного суду;210851600;96020169.71;;;;88538217.67;;;92.2
TOTAL;0900000;Офіс Генерального прокурора;14034046800;12782375152.95;;;;12550866700.4;;;98.18
TOTAL;0901000;Офіс Генерального прокурора;14034046800;12782375152.95;;;;12550866700.4;;;98.18
TOTAL;0901010;Здійснення прокурорської діяльності, підготовка та підвищення кваліфікації працівників органів прокуратури;13901795900;12664961752.95;;;;12443307970.16;;;98.24
TOTAL;0901030;Забезпечення функцій Спеціалізованою антикорупційною прокуратурою;132250900;117413400;;;;107558730.24;;;91.6
TOTAL;0950000;Вищий суд з питань інтелектуальної власності;17982700;15140000;;;;566136.08;;;3.73
TOTAL;0951000;Апарат Вищого суду з питань інтелектуальної власності;17982700;15140000;;;;566136.08;;;3.73
TOTAL;0951010;Здійснення правосуддя Вищим судом з питань інтелектуальної власності;11914800;10482100;;;;566136.08;;;5.4
TOTAL;0951020;Здійснення правосуддя Апеляційною палатою Вищого суду з питань інтелектуальної власності;6067900;4657900;;;;0;;;0
TOTAL;1000000;Міністерство внутрішніх справ України;218051241500;351879500214.57;;;;347784551382.33;;;98.83
TOTAL;1001000;Апарат Міністерства внутрішніх справ України;20970461900;15241112176.11;;;;14805266506.54;;;97.14
TOTAL;1001010;Керівництво та управління діяльністю Міністерства внутрішніх справ України;681234600;661060080;;;;660175221.04;;;99.86
TOTAL;1001050;Реалізація державної політики у сфері внутрішніх справ, забезпечення діяльності органів, установ та закладів Міністерства внутрішніх справ України;9114147500;8713923740.11;;;;8511648300.15;;;97.67
TOTAL;1001080;Підготовка кадрів закладами вищої освіти із специфічними умовами навчання;2376468300;3319250256;;;;3173363729.11;;;95.6
TOTAL;1001170;Наукове та інформаційно-аналітичне забезпечення заходів по боротьбі з організованою злочинністю і корупцією;6748600;7482500;;;;7482498.69;;;99.99
