тип фонду;код;найменування коду;початковий річний план;уточнений річний план;уточнений план за період;відкрито асигнувань за період;направлено асигнувань за період;виконано за період;відхилення до уточненого плану за період;відсоток виконання до уточненого плану за період;відсоток виконання до уточненого річного плану
TOTAL;0411010;Обслуговування та організаційне, інформаційно-аналітичне та матеріально-технічне забезпечення діяльності Кабінету Міністрів України;888721800;949468429.26;;;;859348170.43;;;90.5
TOTAL;0411070;"Фінансова підтримка газети ""Урядовий кур'єр""";22115100;22115100;;;;16851623.7;;;76.19
TOTAL;0411130;Інформаційно-аналітичне та організаційне забезпечення оперативного реагування органів виконавчої влади;132537000;133772031.76;;;;130521381.01;;;97.57
TOTAL;0411150;Забезпечення розслідування авіаційних подій та інцидентів з цивільними повітряними суднами Національним бюро;26614300;26614300;;;;25173383.32;;;94.58
TOTAL;0411170;Забезпечення функціонування офісу із залучення та підтримки інвестицій;33000000;33000000;;;;31952764.07;;;96.82
TOTAL;0411190;Заходи з підтримки розвитку лідерства в Україні;15000000;15000000;;;;6548985.03;;;43.65
TOTAL;0411200;Організаційне, матеріально-технічне, інформаційне та інше забезпечення діяльності Національної ради України з питань розвитку науки і технологій;1350000;1350000;;;;166934.86;;;12.36
TOTAL;0411240;Функціонування інституції з підтримки та просування експорту;14465000;14465000;;;;14063333.92;;;97.22
TOTAL;0411700;Відшкодування витрат, пов'язаних з похованням колишнього Прем'єр-міністра України Марчука Є.К.;0;198000;;;;198000;;;100
TOTAL;0414000;Державна служба статистики України;1292515900;1313563820.28;;;;1297979184.43;;;98.81
TOTAL;0414010;Керівництво та управління у сфері статистики;1176626400;1197674320.28;;;;1186023582.82;;;99.02
TOTAL;0414020;Статистичні спостереження;101068500;101068500;;;;98000539.27;;;96.96
TOTAL;0414030;Щоквартальна плата домогосподарствам за ведення записів доходів, витрат та інших відомостей під час проведення обстеження умов їх життя;7918700;7918700;;;;7100562.5;;;89.66
TOTAL;0414040;Наукова і науково-технічна діяльність у сфері державної статистики;814100;814100;;;;805000;;;98.88
TOTAL;0414090;Підготовка кадрів у сфері статистики закладом вищої освіти та забезпечення діяльності його баз практики;6088200;6088200;;;;6049499.84;;;99.36
TOTAL;0418000;Комісія з регулювання азартних ігор та лотерей;115947200;140700291.07;;;;108312552.21;;;76.98
TOTAL;0418010;Керівництво та управління у сфері регулювання азартних ігор та лотерей;115947200;140700291.07;;;;108312552.21;;;76.98
TOTAL;0420000;Господарсько-фінансовий департамент Секретаріату Кабінету Міністрів України (загальнодержавні видатки та кредитування);467324900;265100;;;;0;;;0
TOTAL;0421000;Секретаріат Кабінету Міністрів України (загальнодержавні видатки та кредитування);467324900;265100;;;;0;;;0
TOTAL;0421060;Підтримка реалізації комплексної реформи державного управління;467324900;265100;;;;0;;;0
TOTAL;0500000;Державна судова адміністрація України;16395213100;17446530795.62;;;;17341195022.79;;;99.39
TOTAL;0501000;Апарат Державної судової адміністрації України;16395213100;17446530795.62;;;;17341195022.79;;;99.39
TOTAL;0501020;Забезпечення здійснення правосуддя місцевими, апеляційними судами та функціонування органів і установ системи правосуддя;16392213100;17443530795.62;;;;17338195023.15;;;99.39
TOTAL;0501150;Виконання рішень судів на користь суддів та працівників апаратів судів;3000000;3000000;;;;2999999.64;;;99.99
TOTAL;0550000;Верховний Суд;2356807400;2381552924;;;;2229735252.47;;;93.62
TOTAL;0551000;Апарат Верховного Суду;2356807400;2381552924;;;;2229735252.47;;;93.62
TOTAL;0551010;Здійснення правосуддя Верховним Судом;2356807400;2381552924;;;;2229735252.47;;;93.62
TOTAL;0800000;Конституційний Суд України;318353100;318544579.59;;;;279267170.37;;;87.66
TOTAL;0801000;Конституційний Суд України;318353100;318544579.59;;;;279267170.37;;;87.66
TOTAL;0801010;Забезпечення конституційної юрисдикції в Україні;318353100;318544579.59;;;;279267170.37;;;87.66
TOTAL;0850000;Вищий антикорупційний суд;374980000;380578423.36;;;;296313990.69;;;77.85
TOTAL;0851000;Апарат Вищого антикорупційного суду;374980000;380578423.36;;;;296313990.69;;;77.85
TOTAL;0851010;Здійснення правосуддя Вищим антикорупційним судом;253066200;257835666.98;;;;215516558.62;;;83.58
TOTAL;0851020;Здійснення правосуддя Апеляційною палатою Вищого антикорупційного суду;121913800;122742756.38;;;;80797432.07;;;65.82
TOTAL;0900000;Офіс Генерального прокурора;11539559200;11830711263.43;;;;10621978706;;;89.78
TOTAL;0901000;Офіс Генерального прокурора;11539559200;11830711263.43;;;;10621978706;;;89.78
TOTAL;0901010;Здійснення прокурорської діяльності, підготовка та підвищення кваліфікації працівників органів прокуратури;11404269800;11715551863.43;;;;10517364894.17;;;89.77
TOTAL;0901030;Забезпечення функцій Спеціалізованою антикорупційною прокуратурою;135289400;115159400;;;;104613811.83;;;90.84
TOTAL;0950000;Вищий суд з питань інтелектуальної власності;3920000;3920000;;;;605627.14;;;15.44
TOTAL;0951000;Апарат Вищого суду з питань інтелектуальної власності;3920000;3920000;;;;605627.14;;;15.44
TOTAL;0951010;Здійснення правосуддя Вищим судом з питань інтелектуальної власності;2990000;2990000;;;;605627.14;;;20.25
TOTAL;0951020;Здійснення правосуддя Апеляційною палатою Вищого суду з питань інтелектуальної власності;930000;930000;;;;0;;;0
TOTAL;1000000;Міністерство внутрішніх справ України;98862822400;107910638775.23;;;;105536199839.99;;;97.79
TOTAL;1001000;Апарат Міністерства внутрішніх справ України;14913151200;15131607662;;;;14163120679.67;;;93.59
TOTAL;1001010;Керівництво та управління діяльністю Міністерства внутрішніх справ України;649010000;658795700;;;;653963108.93;;;99.26
TOTAL;1001050;Реалізація державної політики у сфері внутрішніх справ, забезпечення діяльності органів, установ та закладів Міністерства внутрішніх справ України;7348212600;7632227868;;;;7297214148.08;;;95.61
TOTAL;1001080;Підготовка кадрів закладами вищої освіти із специфічними умовами навчання;2267664900;2707545494;;;;2624160862.51;;;96.92
TOTAL;1001170;Наукове та інформаційно-аналітичне забезпечення заходів по боротьбі з організованою злочинністю і корупцією;6748600;6748600;;;;6748586.3;;;99.99
TOTAL;1001200;"Державна підтримка фізкультурно-спортивного товариства ""Динамо"" України на організацію та проведення роботи з розвитку фізичної культури і спорту серед працівників і військовослужбовців правоохоронних органів";49918100;49918100;;;;49918093.88;;;99.99
TOTAL;1001220;Створення єдиної авіаційної системи безпеки та цивільного захисту;4591597000;4004772000;;;;3460006787.72;;;86.39
TOTAL;1001250;Здійснення доплати медичним працівникам закладів охорони здоров'я, що належать до сфери управління Міністерства внутрішніх справ, які безпосередньо зайняті на роботах з ліквідації захворювання на гостру респіраторну хворобу COVID-19, спричинену коронавірусом SARS-CoV-2;0;71599900;;;;71109092.25;;;99.31
TOTAL;1002000;Адміністрація Державної прикордонної служби України;14425590000;15253048281;;;;15208413874.07;;;99.7
TOTAL;1002010;Керівництво та управління у сфері охорони державного кордону України;403195300;400295300;;;;394142060.4;;;98.46
TOTAL;1002030;Забезпечення виконання завдань та функцій Державної прикордонної служби України;11843855500;12551515773;;;;12533810946.33;;;99.85
TOTAL;1002060;Підготовка кадрів та підвищення кваліфікації Національною академією Державної прикордонної служби України;580062300;578770046;;;;575755336.87;;;99.47
TOTAL;1002070;Будівництво (придбання) житла для військовослужбовців Державної прикордонної служби України;200000000;200964187;;;;200475338.13;;;99.75
TOTAL;1002110;Розвідувальна діяльність у сфері захисту державного кордону;205055600;215355600;;;;215351423.42;;;99.99
TOTAL;1002120;Заходи з інженерно-технічного облаштування кордону;338251000;338251000;;;;338249893.27;;;99.99
TOTAL;1002150;Cтворення системи охорони морських кордонів;849170300;849170300;;;;835725926.55;;;98.41
TOTAL;1002180;Здійснення доплати військовослужбовцям Державної прикордонної служби України, які забезпечують життєдіяльність населення на період дії карантину, встановленого Кабінетом Міністрів України з метою запобігання поширенню на території України гострої респіраторної хвороби COVID-19, спричиненої коронавірусом SARS-CoV-2, медичним працівникам закладів охорони здоров'я, які безпосередньо зайняті на роботах з ліквідації захворювання на гостру респіраторну хворобу COVID-19, спричинену коронавірусом SARS-CoV-2;0;30807000;;;;30796908.51;;;99.96
TOTAL;1002600;Реалізація проекту з розбудови підрозділів охорони кордону;6000000;0;;;;0;;;
TOTAL;1002700;Здійснення заходів, пов'язаних із зміцненням обороноздатності держави;0;21009020;;;;17244902.82;;;82.08
TOTAL;1002710;Здійснення першочергових (невідкладних) заходів з ліквідації наслідків надзвичайної ситуації соціального характеру, пов'язаної з ускладненням оперативної обстановки на українсько-білоруській ділянці державного кордону;0;66910055;;;;66861137.77;;;99.92
TOTAL;1003000;Національна гвардія України;13981364300;15535380208.23;;;;15415841510.4;;;99.23
TOTAL;1003010;Керівництво та управління Національною гвардією України;396337400;334301400;;;;334301400;;;100
TOTAL;1003020;Забезпечення виконання завдань та функцій Національної гвардії України;12659854600;14112413567.75;;;;14010495882.98;;;99.27
TOTAL;1003070;Підготовка кадрів для Національної гвардії України закладами вищої освіти;711230700;717143048.92;;;;713799643.11;;;99.53
TOTAL;1003090;Будівництво (придбання) житла для військовослужбовців Національної гвардії України;213941600;246827709.56;;;;232550130.31;;;94.21
TOTAL;1003130;Здійснення доплати військовослужбовцям Національної гвардії, які забезпечують життєдіяльність населення на період дії карантину, встановленого Кабінетом Міністрів України з метою запобігання поширенню на території України гострої респіраторної хвороби COVID-19, спричиненої коронавірусом SARS-CoV-2;0;16594500;;;;16594490.22;;;99.99
TOTAL;1003700;Здійснення першочергових (невідкладних) заходів з ліквідації наслідків надзвичайної ситуації соціального характеру, пов'язаної з ускладненням оперативної обстановки на українсько-білоруській ділянці державного кордону;0;108099982;;;;108099963.78;;;99.99
TOTAL;1004000;Державна міграційна служба України;3582422800;3219802862;;;;3067864767.71;;;95.28
TOTAL;1004010;Керівництво та управління у сфері міграції, громадянства, імміграції та реєстрації фізичних осіб;212562900;193094409;;;;171078492.94;;;88.59
TOTAL;1004020;Забезпечення виконання завдань та функцій у сфері громадянства, імміграції та реєстрації фізичних осіб;3368857700;3025706253;;;;2895798453.02;;;95.7
TOTAL;1004070;Внески до Міжнародної організації з міграції;1002200;1002200;;;;987821.75;;;98.56
TOTAL;1006000;Державна служба України з надзвичайних ситуацій;16463156600;18426345802;;;;18172991951.19;;;98.62
TOTAL;1006010;Керівництво та управління у сфері надзвичайних ситуацій;256052900;261313097;;;;259516213.14;;;99.31
TOTAL;1006060;Гідрометеорологічна діяльність;687667100;697204879;;;;688429494.86;;;98.74
TOTAL;1006070;Наукова і науково-технічна діяльність у сфері гідрометеорології;40660200;49364127;;;;47546531.46;;;96.31
TOTAL;1006110;Будівництво (придбання) житла для осіб рядового і начальницького складу Державної служби України з надзвичайних ситуацій;30000000;30000000;;;;29758077.8;;;99.19
TOTAL;1006130;Цифрова трансформація політики автоматизації процесів у сфері цивільного захисту, запобігання виникненню надзвичайних ситуацій та ліквідації їх наслідків;0;41050000;;;;41048000;;;99.99
TOTAL;1006150;Здійснення доплати особам рядового і начальницького складу служби цивільного захисту, які забезпечують життєдіяльність населення на період дії карантину, встановленого Кабінетом Міністрів України з метою запобігання поширенню на території України гострої респіраторної хвороби COVID-19, спричиненої коронавірусом SARS-CoV-2, медичним працівникам закладів охорони здоров'я, які безпосередньо зайняті на роботах з ліквідації захворювання на гостру респіраторну хворобу COVID-19, спричинену коронавірусом SARS-CoV-2;0;1737300;;;;1736031.45;;;99.92
TOTAL;1006280;Забезпечення діяльності сил цивільного захисту;14500676300;15980268307;;;;15871370633.31;;;99.31
TOTAL;1006360;Підготовка кадрів,  наукова і науково-технічна діяльність у сфері цивільного захисту і пожежної безпеки;948100100;1089315273;;;;992488699.18;;;91.11
TOTAL;1006700;Надання гуманітарної допомоги Республіці Індія;0;10900650;;;;10900648.83;;;99.99
TOTAL;1006710;Оснащення мобільного госпіталю ДСНС  для надання медичної допомоги пацієнтам з гострою респіраторною хворобою COVID-19, спричиненою коронавірусом SARS-CoV-2;0;24576000;;;;22422502;;;91.23
TOTAL;1006720;Здійснення заходів, пов'язаних із запобіганням та ліквідацією наслідків надзвичайної ситуації;0;100000000;;;;99999254.06;;;99.99
TOTAL;1006730;Здійснення заходів, пов'язаних з відновленням авіаційної техніки, яка використовується під час виконання завдань цивільного захисту;0;106380000;;;;74299249.18;;;69.84
TOTAL;1006740;Надання гуманітарної допомоги відповідно до запиту Литовської Республіки, зокрема для відшкодування витрат, пов'язаних з її наданням;0;29348339;;;;29338562.82;;;99.96
TOTAL;1006750;Відшкодування витрат, пов'язаних із наданням Грецькій Республіці і Турецькій Республіці допомоги у ліквідації наслідків лісових пожеж;0;4887830;;;;4138053.1;;;84.66
TOTAL;1007000;Національна поліція України;35497137500;40344453960;;;;39507967056.95;;;97.92
TOTAL;1007010;Керівництво та управління діяльністю Національної поліції України;1051092100;1051092100;;;;1051092100;;;100
TOTAL;1007020;Забезпечення діяльності органів та установ Національної поліції України;34446045400;38614100560;;;;37777665537.35;;;97.83
TOTAL;1007070;Здійснення доплати поліцейським, які забезпечують життєдіяльність населення на період дії карантину, встановленого Кабінетом Міністрів України з метою запобігання поширенню на території України гострої респіраторної хвороби COVID-19, спричиненої коронавірусом SARS-CoV-2;0;679261300;;;;679209419.6;;;99.99
TOTAL;1200000;Міністерство економіки України;17561361900;20284116456.4;;;;18587011490.12;;;91.63
TOTAL;1201000;Апарат Міністерства економіки України;9019151100;11340502640.76;;;;11025535557.86;;;97.22
TOTAL;1201010;Керівництво та управління у сфері розвитку економіки, торгівлі та сільського господарства;583801400;634930413.89;;;;619974386.64;;;97.64
TOTAL;1201020;"Виконання зобов’язань України за участь у програмі ЄС ""Конкурентоспроможність підприємств малого та середнього бізнесу (COSME)""";24738000;24738000;;;;0;;;0
TOTAL;1201030;Забезпечення двостороннього співробітництва України з іноземними державами та міжнародними організаціями, інформаційне та організаційне забезпечення участі України у міжнародних форумах, конференціях, виставках;69612100;69612100;;;;47419657.59;;;68.11
TOTAL;1201080;"Ліквідація та екологічна реабілітація території впливу гірничих робіт державного підприємства ""Солотвинський солерудник"" Тячівського району Закарпатської області";4635600;4635600;;;;4612582.22;;;99.5
TOTAL;1201110;Витрати Аграрного фонду пов'язані з комплексом заходів із зберігання, перевезення, переробки та експортом об'єктів державного цінового регулювання державного інтервенційного фонду;181500000;181500000;;;;0;;;0
TOTAL;1201120;Виплата Фондом загальнообов'язкового державного соціального страхування України на випадок безробіття допомоги по частковому безробіттю на період здійснення заходів, пов'язаних із запобіганням поширенню на території України гострої респіраторної хвороби COVID-19, спричиненої коронавірусом SARS-CoV-2, та боротьбою з її наслідками;0;459537100;;;;394242109.82;;;85.79
TOTAL;1201210;"Формування статутного капіталу акціонерного товариства ""Національний фонд інвестицій України""";100000000;100000000;;;;100000000;;;100
TOTAL;1201220;Наукова і науково-технічна діяльність у сфері економічного розвитку, стандартизації, метрології та метрологічної діяльності;26949900;33335326.87;;;;30545888.85;;;91.63
TOTAL;1201230;"Надання допомоги в рамках Програми ""єПідтримка""";8000000000;8000000000;;;;8000000000;;;100
TOTAL;1201270;Організація та функціонування Аграрного фонду;7092500;7092500;;;;5990790.29;;;84.46
TOTAL;1201280;Виплати працівникам, які вивільняються з роботи у зв’язку із достроковим зняттям з експлуатації Чорнобильської АЕС;3111600;3111600;;;;2675760.05;;;85.99
TOTAL;1201290;Компенсація роботодавцю частини фактичних витрат, пов'язаних зі сплатою єдиного внеску на загальнообов'язкове державне соціальне страхування;800000;800000;;;;0;;;0
TOTAL;1201320;Виконання судових рішень, що набрали законної сили;1797000;1797000;;;;1796958.18;;;99.99
TOTAL;1201330;"Здійснення заходів з обов’язкового проведення тендерів ДУ ""Професійні закупівлі""";9000000;9000000;;;;8168439.9;;;90.76
TOTAL;1201400;Виплата Фондом загальнообов'язкового державного соціального страхування України на випадок безробіття допомоги по безробіттю;0;1804300000;;;;1804300000;;;100
TOTAL;1201580;Заходи із посилення інституційної спроможності для підготовки проектів державно-приватного партнерства;6113000;6113000;;;;5808984.32;;;95.02
TOTAL;1203000;Державне агентство резерву України;1168679500;1188465011;;;;490480424.98;;;41.27
TOTAL;1203010;Керівництво та управління у сфері державного резерву;31991800;31991800;;;;28454945.53;;;88.94
TOTAL;1203020;Обслуговування державного матеріального резерву;367343700;387129211;;;;282508812.82;;;72.97
TOTAL;1203040;Накопичення (приріст) матеріальних цінностей державного матеріального резерву;769344000;769344000;;;;179516666.63;;;23.33
TOTAL;1206000;Державна служба з питань праці;597243700;597007825.84;;;;595464241.32;;;99.74
TOTAL;1206010;Керівництво та управління у сфері промислової безпеки, охорони та гігієни праці, нагляду за додержанням законодавства про працю;586065500;589292022.79;;;;587771010.95;;;99.74
TOTAL;1206020;Наукова і науково-технічна діяльність у сфері промислової безпеки та охорони праці;11178200;7715803.05;;;;7693230.37;;;99.7
TOTAL;1208000;Державна служба експортного контролю України;56657900;45026548.8;;;;44472601.69;;;98.76
TOTAL;1208010;Керівництво та управління у сфері експортного контролю;56657900;45026548.8;;;;44472601.69;;;98.76
TOTAL;1209000;Державна служба України з питань безпечності харчових продуктів та захисту споживачів;6719629700;7113114430;;;;6431058664.27;;;90.41
TOTAL;1209010;Керівництво та управління у сфері безпечності харчових продуктів та захисту споживачів;2036502900;2254762207.41;;;;2059822972.25;;;91.35
TOTAL;1209020;Протиепізоотичні заходи та участь у Міжнародному епізоотичному бюро;578639800;578639800;;;;505164263.09;;;87.3
TOTAL;1209030;Організація та регулювання діяльності установ в системі Державної служби України з питань безпечності харчових продуктів та захисту споживачів;4000022700;4025221722.59;;;;3786446815.41;;;94.06
TOTAL;1209040;Проведення лабораторних випробувань, вимірювань, досліджень та експертизи під час здійснення державного контролю (нагляду);83697800;83697800;;;;79624613.52;;;95.13
TOTAL;1209610;Заходи з будівництва прикордонних інспекційних постів та покращення доступу сільськогосподарських МСП до експортних ринків;20766500;170792900;;;;0;;;0
TOTAL;1210000;Міністерство розвитку економіки, торгівлі та сільського господарства України (загальнодержавні видатки та кредитування);93232400;93312766.98;;;;90267136.37;;;96.73
TOTAL;1211000;Міністерство розвитку економіки, торгівлі та сільського господарства України (загальнодержавні видатки та кредитування);93232400;93312766.98;;;;90267136.37;;;96.73
TOTAL;1211050;Мобілізаційна підготовка галузей національної економіки України;93232400;93312766.98;;;;90267136.37;;;96.73
TOTAL;1400000;Міністерство закордонних справ України;5389812700;5441044009.32;;;;4576376496.22;;;84.1
TOTAL;1401000;Апарат Міністерства закордонних справ України;5389812700;5441044009.32;;;;4576376496.22;;;84.1
TOTAL;1401010;Керівництво та управління у сфері державної політики щодо зовнішніх відносин;331546600;339977802;;;;313307671.58;;;92.15
TOTAL;1401020;Внески України до бюджетів ООН, органів і спеціалізованих установ системи ООН, інших міжнародних організацій та конвенційних органів;640206300;640206300;;;;568872849.22;;;88.85
TOTAL;1401030;Функціонування закордонних дипломатичних установ України та розширення мережі власності України для потреб цих установ;4240591800;4245289757;;;;3525495778.4;;;83.04
TOTAL;1401050;Реалізація Міністерством закордонних справ України повноважень з проведення зовнішньої політики України, організація і контроль за діяльністю закордонних дипломатичних установ України;26077000;26077000;;;;10276708.85;;;39.4
TOTAL;1401100;Професійне навчання посадових осіб дипломатичної служби та працівників інших державних органів у сфері зовнішніх зносин;19640000;20336103.46;;;;19867048.43;;;97.69
TOTAL;1401110;Фінансова підтримка забезпечення міжнародного позитивного іміджу України, забезпечення діяльності Українського інституту, заходи щодо підтримки зв'язків з українцями, які проживають за межами України;59328000;59888958.86;;;;56219061.21;;;93.87
TOTAL;1401130;Документування громадян та створення і забезпечення функціонування інформаційно-телекомунікаційних систем консульської служби;72423000;87529200;;;;60598490.9;;;69.23
TOTAL;1401700;Надання гуманітарної допомоги Республіці Хорватія;0;20000000;;;;19999999.77;;;99.99
TOTAL;1401710;Відшкодування витрат, пов'язаних із здійсненням невідкладної евакуації громадян України та членів їх сімей із Сектору Газа;0;1738888;;;;1738887.86;;;99.99
TOTAL;1500000;Міністерство у справах ветеранів України;373070800;548320228.63;;;;528293119.45;;;96.34
TOTAL;1501000;Апарат Міністерства у справах ветеранів України;373070800;548320228.63;;;;528293119.45;;;96.34
TOTAL;1501010;Керівництво та управління у справах ветеранів;108943900;130043887.63;;;;120298863.19;;;92.5
TOTAL;1501030;Фінансова підтримка громадських об’єднань ветеранів на виконання загальнодержавних програм (проектів, заходів), заходи з відвідування військових поховань і військових пам’ятників та з відзначення святкових, пам’ятних та історичних дат;8560200;4960200;;;;2566870.11;;;51.74
TOTAL;1501040;Заходи із психологічної реабілітації, соціальної та професійної адаптації, забезпечення санаторно-курортним лікуванням постраждалих учасників Революції Гідності, учасників антитерористичної операції та осіб, які здійснювали заходи із забезпечення національної безпеки і оборони, відсічі і стримування збройної агресії Російської Федерації у Донецькій та Луганській областях, та членів їх сімей (при здійсненні заходів із психологічної реабілітації), членів сімей загиблих (померлих) таких осіб, виготовлення для них бланків посвідчень та нагрудних знаків;255566700;248408441;;;;240519686.15;;;96.82
TOTAL;1501700;Надання одноразової грошової допомоги членам сімей осіб, які загинули (померли) під час участі в антитерористичній операції, та особам, які стали особами з інвалідністю внаслідок поранення, контузії, каліцтва або захворювання, одержаних під час участі в зазначеній операції;0;164907700;;;;164907700;;;100
TOTAL;1510000;Міністерство у справах ветеранів України (загальнодержавні видатки та кредитування);901907000;917075900;;;;910161602.81;;;99.24
TOTAL;1511000;Міністерство у справах ветеранів України (загальнодержавні видатки та кредитування);901907000;917075900;;;;910161602.81;;;99.24
TOTAL;1511040;Субвенція з державного бюджету місцевим бюджетам на виплату грошової компенсації за належні для отримання жилі приміщення для сімей осіб, визначених абзацами 5-8 пункту 1 статті 10 Закону України «Про статус ветеранів війни, гарантії їх соціального захисту», для осіб з інвалідністю I-II групи, яка настала внаслідок поранення, контузії, каліцтва або захворювання, одержаних під час безпосередньої участі в антитерористичній операції, забезпеченні її проведення, здійсненні заходів із забезпечення національної безпеки і оборони, відсічі і стримування збройної агресії Російської Федерації у Донецькій та Луганській областях, забезпеченні їх здійснення, визначених пунктами 11-14 частини другої статті 7 Закону України «Про статус ветеранів війни, гарантії їх соціального захисту», та які потребують поліпшення житлових умов;305145300;313292900;;;;312417509.03;;;99.72
TOTAL;1511050;Субвенція з державного бюджету місцевим бюджетам на виплату грошової компенсації за належні для отримання жилі приміщення для внутрішньо переміщених осіб, які захищали незалежність, суверенітет та територіальну цілісність України і брали безпосередню участь в антитерористичній операції, забезпеченні її проведення, перебуваючи безпосередньо в районах антитерористичної операції у період її проведення, у здійсненні заходів із забезпечення національної безпеки і оборони, відсічі і стримування збройної агресії Російської Федерації у Донецькій та Луганській областях, забезпеченні їх здійснення, перебуваючи безпосередньо в районах та у період здійснення зазначених заходів, та визнані особами з інвалідністю внаслідок війни III групи відповідно до пунктів 11-14 частини другої статті 7 або учасниками бойових дій відповідно до пунктів 19-20 частини першої статті 6 Закону України «Про статус ветеранів війни, гарантії їх соціального захисту», та які потребують поліпшення житлових умов;530445000;531284000;;;;526275780.34;;;99.05
