тип фонду;код;найменування коду;початковий річний план;уточнений річний план;уточнений план за період;відкрито асигнувань за період;направлено асигнувань за період;виконано за період;відхилення до уточненого плану за період;відсоток виконання до уточненого плану за період;відсоток виконання до уточненого річного плану
fundType;programCode;programCodeName;yearBeginPlan;yearCorrectionPlan;periodCorrectionPlan;openAllocPeriod;directedAllocPeriod;periodDone;deviationToPeriodCorrectionPlan;percentDoneToPeriodCorrectionPlan;percentDoneToYearCorrectionPlan
;0000;РАЗОМ;1444342052200;1544156113027.96;;;;1490258911358.77;;;96.5
TOTAL;0110000;Апарат Верховної Ради України;2820392700;2856602393.39;;;;2406027378.4;;;84.22
TOTAL;0111000;Апарат Верховної Ради України;2820392700;2856602393.39;;;;2406027378.4;;;84.22
TOTAL;0111010;Здійснення законотворчої діяльності Верховної Ради України;1560418500;1576388970.74;;;;1160123819.75;;;73.59
TOTAL;0111020;Обслуговування та організаційне, інформаційно-аналітичне, матеріально-технічне забезпечення діяльності Верховної Ради України;1175209800;1178449022.65;;;;1144149872.88;;;97.08
TOTAL;0111090;"Висвітлення діяльності Верховної Ради України через засоби телебачення і радіомовлення та фінансова підтримка видання газети ""Голос України""";84764400;101764400;;;;101753685.77;;;99.98
TOTAL;0300000;Державне управління справами;3231882200;3433856354.88;;;;3320403738.19;;;96.69
TOTAL;0301000;Апарат Державного управління справами;3194517200;3396491354.88;;;;3283053803.63;;;96.66
TOTAL;0301010;Обслуговування та організаційне, інформаційно-аналітичне, матеріально-технічне забезпечення діяльності Президента України та Офісу Президента України;1270887000;1249273810.26;;;;1211492572.32;;;96.97
TOTAL;0301050;Виготовлення державних нагород та пам'ятних знаків;23613700;23613700;;;;23594085.4;;;99.91
TOTAL;0301060;Фінансова підтримка санаторно-курортних закладів та закладів оздоровлення;122650200;101848043;;;;100084042.42;;;98.26
TOTAL;0301080;Наукова і науково-технічна діяльність у сфері державного управління, стратегічних проблем внутрішньої та зовнішньої політики і з питань посередництва та примирення при вирішенні колективних трудових спорів (конфліктів);87233400;88512290.65;;;;85518221.95;;;96.61
TOTAL;0301130;Підготовка науково-педагогічних і наукових кадрів з питань стратегічних проблем внутрішньої і зовнішньої політики;2389800;1420800;;;;1417752.95;;;99.78
TOTAL;0301140;Збереження природно-заповідного фонду в національних природних парках та заповідниках;136929800;114233880.18;;;;111111274.23;;;97.26
TOTAL;0301170;Надання медичних послуг медичними закладами;978023500;1156716730.79;;;;1129696926.51;;;97.66
TOTAL;0301360;Фінансова підтримка закладів культури і мистецтва;212565700;212565700;;;;200814983.37;;;94.47
TOTAL;0301460;Виплата Державних премій України;2440000;1940000;;;;1440000;;;74.22
TOTAL;0301500;"Реалізація державного інвестиційного проекту ""Реконструкція будівлі Державного підприємства ""Національний центр ділового та культурного співробітництва ""Український дім"" на вул. Хрещатик, 2, в м. Києві""";40000000;18896600;;;;7622130.54;;;40.33
TOTAL;0301520;Модернізація цифрових інформаційно-аналітичних систем;70000000;70000000;;;;66166585.37;;;94.52
TOTAL;0301820;Реалізація державного інвестиційного проекту «Комплексна діагностика та лікування пацієнтів з важкими вірусними та вірусно-бактеріальними пневмоніями у дорослого населення на основі впровадження унікальних інноваційних технологій»;29990000;29990000;;;;29989723.33;;;99.99
TOTAL;0301830;"Реалізація державного інвестиційного проекту «Реконструкція блока ""Б"" лікувального корпусу № 3 Клінічної лікарні ""Феофанія"" Державного управління справами по вул. Ак. Заболотного, 21 у Голосіївському районі м. Києва»";137981300;230981300;;;;227567808.99;;;98.52
TOTAL;0301840;"Реалізація державного інвестиційного проекту ""Створення Національного культурно-мистецького та музейного комплексу ""Мистецький арсенал""";50000000;66685700;;;;56728959.4;;;85.06
TOTAL;0301860;Реалізація державного інвестиційного проекту «Підвищення доступності та якості надання медичної допомоги населенню із захворюваннями ЛОР-органів на основі впровадження інноваційних високотехнологічних методів комплексної діагностики та хірургічного лікування в умовах багатопрофільного закладу охорони здоров'я»;29812800;29812800;;;;29808736.85;;;99.98
TOTAL;0304000;Національна служба посередництва і примирення України;37365000;37365000;;;;37349934.56;;;99.95
TOTAL;0304010;Сприяння врегулюванню колективних трудових спорів (конфліктів);37365000;37365000;;;;37349934.56;;;99.95
TOTAL;0410000;Господарсько-фінансовий департамент Секретаріату Кабінету Міністрів України;2542266300;2650246972.37;;;;2491116312.98;;;93.99
TOTAL;0411000;Секретаріат Кабінету Міністрів України;1133803200;1195982861.02;;;;1084824576.34;;;90.7
