тип фонду;код;найменування коду;початковий річний план;уточнений річний план;уточнений план за період;відкрито асигнувань за період;направлено асигнувань за період;виконано за період;відхилення до уточненого плану за період;відсоток виконання до уточненого плану за період;відсоток виконання до уточненого річного плану
TOTAL;0304010;Сприяння врегулюванню колективних трудових спорів (конфліктів);43796500;43796500;;;;43477443.32;;;99.27
TOTAL;0410000;Господарсько-фінансовий департамент Секретаріату Кабінету Міністрів України;8528783900;8785853343.46;;;;8039930398.46;;;91.5
TOTAL;0411000;Секретаріат Кабінету Міністрів України;1313430900;1364676850.52;;;;1211102005.52;;;88.74
TOTAL;0411010;Обслуговування та організаційне, інформаційно-аналітичне та матеріально-технічне забезпечення діяльності Кабінету Міністрів України;982278600;1028154481.58;;;;945010112.54;;;91.91
TOTAL;0411070;"Фінансова підтримка газети ""Урядовий кур'єр""";45328300;43798900;;;;19845801.56;;;45.31
TOTAL;0411130;Інформаційно-аналітичне та організаційне забезпечення оперативного реагування органів виконавчої влади;164049900;166730968.94;;;;163727694.85;;;98.19
TOTAL;0411150;Забезпечення розслідування авіаційних подій та інцидентів з цивільними повітряними суднами Національним бюро;28573400;28573400;;;;27982196.21;;;97.93
TOTAL;0411170;Забезпечення функціонування офісу із залучення та підтримки інвестицій;50977100;50977100;;;;19125104.04;;;37.51
TOTAL;0411190;Заходи з підтримки розвитку лідерства в Україні;9000000;9000000;;;;8304134;;;92.26
TOTAL;0411200;Організаційне, матеріально-технічне, інформаційне та інше забезпечення діяльності Національної ради України з питань розвитку науки і технологій;90100;90100;;;;79886.58;;;88.66
TOTAL;0411240;Функціонування інституції з підтримки та просування експорту;33133500;33133500;;;;27027075.74;;;81.57
TOTAL;0411250;"Забезпечення функціонування бюджетної установи ""Центр гуманітарного розмінування""";0;4218400;;;;0;;;0
TOTAL;0412000;Державна служба України з питань безпечності харчових продуктів та захисту споживачів;5959038700;6093766255.76;;;;5590811099.46;;;91.74
TOTAL;0412010;Керівництво та управління у сфері безпечності харчових продуктів та захисту споживачів;2001346500;2072435245.34;;;;1886927577.44;;;91.04
TOTAL;0412020;Протиепізоотичні заходи та участь у Міжнародному епізоотичному бюро;414039800;414125285;;;;393355631.75;;;94.98
TOTAL;0412030;Організація та регулювання діяльності установ в системі Державної служби України з питань безпечності харчових продуктів та захисту споживачів;3487050000;3550603325.42;;;;3287146780.66;;;92.57
TOTAL;0412040;Проведення лабораторних випробувань, вимірювань, досліджень та експертизи під час здійснення державного контролю (нагляду);56602400;56602400;;;;23381109.61;;;41.3
TOTAL;0413000;Державна служба України з етнополітики та свободи совісті;0;15738900;;;;15598438.68;;;99.1
TOTAL;0413010;Керівництво та управління у сфері етнополітики та свободи совісті;0;15738900;;;;15598438.68;;;99.1
TOTAL;0414000;Державна служба статистики України;1032782900;1091965937.18;;;;1018208941.04;;;93.24
TOTAL;0414010;Керівництво та управління у сфері статистики;1010846800;1010985937.18;;;;1000423406.6;;;98.95
TOTAL;0414020;Статистичні спостереження;6814100;65858000;;;;9003592.95;;;13.67
TOTAL;0414030;Щоквартальна плата домогосподарствам за ведення записів доходів, витрат та інших відомостей під час проведення обстеження умов їх життя;7126800;6330100;;;;0;;;0
TOTAL;0414040;Наукова і науково-технічна діяльність у сфері державної статистики;659400;659400;;;;650000;;;98.57
TOTAL;0414090;Підготовка кадрів у сфері статистики закладом вищої освіти та забезпечення діяльності його баз практики;7335800;8132500;;;;8131941.49;;;99.99
TOTAL;0418000;Комісія з регулювання азартних ігор та лотерей;86821000;82365000;;;;76438224.5;;;92.8
TOTAL;0418010;Керівництво та управління у сфері регулювання азартних ігор та лотерей;86821000;82365000;;;;76438224.5;;;92.8
TOTAL;0419000;Державне агентство України з питань кіно;136710400;137340400;;;;127771689.26;;;93.03
TOTAL;0419010;Керівництво та управління у сфері кінематографії;27239400;27239400;;;;26386899.31;;;96.87
TOTAL;0419030;Державна підтримка кінематографії;106150000;106780000;;;;101384789.95;;;94.94
TOTAL;0419060;Гранти Президента України молодим діячам мистецтва для створення і реалізації творчих проектів в сфері кінематографії та премії за видатні досягнення у галузі кінематографії;3321000;3321000;;;;0;;;0
TOTAL;0500000;Державна судова адміністрація України;17324521500;18649088475.24;;;;18096108857.13;;;97.03
TOTAL;0501000;Апарат Державної судової адміністрації України;17324521500;18649088475.24;;;;18096108857.13;;;97.03
TOTAL;0501020;Забезпечення здійснення правосуддя місцевими, апеляційними судами та функціонування органів і установ системи правосуддя;17323521500;18648088475.24;;;;18095438928.91;;;97.03
TOTAL;0501150;Виконання рішень судів на користь суддів та працівників апаратів судів;1000000;1000000;;;;669928.22;;;66.99
TOTAL;0550000;Верховний Суд;2050191000;2052916792.29;;;;1774878526.67;;;86.45
TOTAL;0551000;Апарат Верховного Суду;2050191000;2052916792.29;;;;1774878526.67;;;86.45
TOTAL;0551010;Здійснення правосуддя Верховним Судом;2050191000;2052916792.29;;;;1774878526.67;;;86.45
TOTAL;0800000;Конституційний Суд України;270688700;271916413.01;;;;257128919.84;;;94.56
TOTAL;0801000;Конституційний Суд України;270688700;271916413.01;;;;257128919.84;;;94.56
TOTAL;0801010;Забезпечення конституційної юрисдикції в Україні;270688700;271916413.01;;;;257128919.84;;;94.56
TOTAL;0850000;Вищий антикорупційний суд;291988600;315364633.87;;;;294983132.24;;;93.53
TOTAL;0851000;Апарат Вищого антикорупційного суду;291988600;315364633.87;;;;294983132.24;;;93.53
TOTAL;0851010;Здійснення правосуддя Вищим антикорупційним судом;207175100;225016606.98;;;;211500953.55;;;93.99
TOTAL;0851020;Здійснення правосуддя Апеляційною палатою Вищого антикорупційного суду;84813500;90348026.89;;;;83482178.69;;;92.4
TOTAL;0900000;Офіс Генерального прокурора;13439636200;13702889077.18;;;;13505637524.52;;;98.56
TOTAL;0901000;Офіс Генерального прокурора;13439636200;13702889077.18;;;;13505637524.52;;;98.56
TOTAL;0901010;Здійснення прокурорської діяльності, підготовка та підвищення кваліфікації працівників органів прокуратури;13242689500;13503312906.18;;;;13370734377.23;;;99.01
TOTAL;0901030;Забезпечення функцій Спеціалізованою антикорупційною прокуратурою;196946700;199576171;;;;134903147.29;;;67.59
TOTAL;0950000;Вищий суд з питань інтелектуальної власності;4456000;4456000;;;;747007.16;;;16.76
TOTAL;0951000;Апарат Вищого суду з питань інтелектуальної власності;4456000;4456000;;;;747007.16;;;16.76
TOTAL;0951010;Здійснення правосуддя Вищим судом з питань інтелектуальної власності;2367600;2367600;;;;747007.16;;;31.55
TOTAL;0951020;Здійснення правосуддя Апеляційною палатою Вищого суду з питань інтелектуальної власності;2088400;2088400;;;;0;;;0
TOTAL;1000000;Міністерство внутрішніх справ України;387699822200;432681663075.75;;;;428444297526.6;;;99.02
TOTAL;1001000;Апарат Міністерства внутрішніх справ України;17990034300;16726603531.42;;;;15097604676.61;;;90.26
TOTAL;1001010;Керівництво та управління діяльністю Міністерства внутрішніх справ України;681234600;784912203;;;;784550747.53;;;99.95
TOTAL;1001050;Реалізація державної політики у сфері внутрішніх справ, забезпечення діяльності органів, установ та закладів Міністерства внутрішніх справ України;9761219200;10936116916.42;;;;10702725345.76;;;97.86
TOTAL;1001080;Підготовка кадрів закладами вищої освіти із специфічними умовами навчання;3088225200;3587529349;;;;3433171058.51;;;95.69
TOTAL;1001170;Наукове та інформаційно-аналітичне забезпечення заходів по боротьбі з організованою злочинністю і корупцією;7355900;7278691;;;;7259808.81;;;99.74
TOTAL;1001200;"Державна підтримка фізкультурно-спортивного товариства ""Динамо"" України на організацію та проведення роботи з розвитку фізичної культури і спорту серед працівників і військовослужбовців правоохоронних органів";52274200;0;;;;0;;;
TOTAL;1001220;Створення єдиної авіаційної системи безпеки та цивільного захисту;4399725200;1410766372;;;;169897716;;;12.04
TOTAL;1002000;Адміністрація Державної прикордонної служби України;79492298200;100957050594;;;;100323247129.9;;;99.37
TOTAL;1002010;Керівництво та управління у сфері охорони державного кордону України;559806400;599610000;;;;599610000;;;100
TOTAL;1002030;Забезпечення виконання завдань, функцій та підготовка кадрів Державної прикордонної служби України;76379448300;90573326029;;;;90357441574.62;;;99.76
TOTAL;1002070;Будівництво (придбання) житла для військовослужбовців Державної прикордонної служби України;200000000;297716200;;;;297644271.48;;;99.97
TOTAL;1002110;Розвідувальна діяльність у сфері захисту державного кордону;494906800;553188219;;;;552921911.93;;;99.95
TOTAL;1002150;Cтворення системи охорони морських кордонів;1547966700;1621966700;;;;1514556009.2;;;93.37
TOTAL;1002600;Реалізація проекту із закупівлі безпілотних авіаційних систем та засобів моніторингу державного кордону;310170000;310170000;;;;0;;;0
TOTAL;1002700;Надання компенсації об'єктам державної власності, у будівлях (приміщеннях) яких в умовах воєнного стану на безоплатній основі розміщувалися внутрішньо переміщені особи;0;1073446;;;;1073362.86;;;99.99
TOTAL;1002710;Здійснення заходів, пов'язаних із зміцненням обороноздатності держави;0;7000000000;;;;6999999999.81;;;99.99
TOTAL;1003000;Національна гвардія України;136786992800;143192175176.79;;;;142659895502.72;;;99.62
TOTAL;1003010;Керівництво та управління Національною гвардією України;448765700;617013600;;;;617013600;;;100
TOTAL;1003020;Забезпечення виконання завдань, функцій та підготовка кадрів Національної гвардії України;136011028000;142238335827.88;;;;141720136597.21;;;99.63
TOTAL;1003090;Будівництво (придбання) житла для військовослужбовців Національної гвардії України;327199100;336825748.91;;;;322745305.51;;;95.81
TOTAL;1004000;Державна міграційна служба України;4304892600;4447310411;;;;4150218515.46;;;93.31
TOTAL;1004010;Керівництво та управління у сфері міграції, громадянства, імміграції та реєстрації фізичних осіб;155161800;155920567;;;;154933412.53;;;99.36
TOTAL;1004020;Забезпечення виконання завдань та функцій у сфері громадянства, імміграції та реєстрації фізичних осіб;4148540000;4289753044;;;;3993695359.47;;;93.09
TOTAL;1004070;Внески до Міжнародної організації з міграції;1190800;1636800;;;;1589743.46;;;97.12
TOTAL;1006000;Державна служба України з надзвичайних ситуацій;44253232600;55498933450.56;;;;54824216956.95;;;98.78
TOTAL;1006010;Керівництво та управління у сфері надзвичайних ситуацій;331757200;346444203;;;;346141410.88;;;99.91
TOTAL;1006060;Гідрометеорологічна діяльність;857992300;917919101;;;;908050008.55;;;98.92
TOTAL;1006070;Наукова і науково-технічна діяльність у сфері гідрометеорології;44770000;47547462;;;;45092275.69;;;94.83
TOTAL;1006110;Будівництво (придбання) житла для осіб рядового і начальницького складу Державної служби України з надзвичайних ситуацій;216933500;216933500;;;;216579868.2;;;99.83
TOTAL;1006160;Реалізація Програми екстренного відновлення на придбання обладнання для гуманітарного розмінування;0;147270804;;;;0;;;0
TOTAL;1006280;Забезпечення діяльності сил цивільного захисту;41312633200;52046442791.56;;;;51739656261.3;;;99.41
TOTAL;1006360;Підготовка кадрів,  наукова і науково-технічна діяльність у сфері цивільного захисту і пожежної безпеки;1489146400;1768498537;;;;1560879474.47;;;88.26
TOTAL;1006700;Відшкодування витрат, пов'язаних із наданням Турецькій Республіці допомоги в ліквідації наслідків землетрусу;0;4927498;;;;4927491.25;;;99.99
TOTAL;1006710;Відшкодування витрат, пов'язаних із наданням Республіці Словенія гуманітарної допомоги в ліквідації наслідків надзвичайної ситуації, що сталася внаслідок повені;0;2949554;;;;2890166.61;;;97.98
TOTAL;1007000;Національна поліція України;104872371700;111859589911.98;;;;111389114744.96;;;99.57
TOTAL;1007010;Керівництво та управління діяльністю Національної поліції України;2109198900;2161969500;;;;2161969500;;;100
TOTAL;1007020;Забезпечення діяльності органів, установ та закладів Національної поліції України;102763172800;109697620411.98;;;;109227145244.96;;;99.57
TOTAL;1200000;Міністерство економіки України;4456848000;5428498319.69;;;;4595387671.05;;;84.65
TOTAL;1201000;Апарат Міністерства економіки України;3195599500;3998519782.25;;;;3610815625.54;;;90.3
TOTAL;1201010;Керівництво та управління у сфері економіки;431252900;434173182.25;;;;425369165.39;;;97.97
TOTAL;1201030;Забезпечення двостороннього співробітництва України з іноземними державами та міжнародними організаціями, інформаційне та організаційне забезпечення участі України у міжнародних форумах, конференціях, виставках;78662700;78662700;;;;61054675.86;;;77.61
TOTAL;1201080;"Ліквідація та екологічна реабілітація території впливу гірничих робіт державного підприємства ""Солотвинський солерудник"" Тячівського району Закарпатської області";4635600;4635600;;;;4622682.88;;;99.72
TOTAL;1201220;Наукова і науково-технічна діяльність у сфері економічного розвитку, стандартизації, метрології та метрологічної діяльності;18054400;18054400;;;;17571835.33;;;97.32
TOTAL;1201280;Виплати працівникам, які вивільняються з роботи у зв’язку із достроковим зняттям з експлуатації Чорнобильської АЕС;2520400;2520400;;;;2341972.5;;;92.92
TOTAL;1201320;Виконання судових рішень, що набрали законної сили;1455600;5155600;;;;5155600;;;100
TOTAL;1201330;"Здійснення заходів з обов’язкового проведення тендерів ДУ ""Професійні закупівлі""";7066400;3366400;;;;3350830;;;99.53
TOTAL;1201350;Надання грантів для створення або розвитку бізнесу;2647000000;2647000000;;;;2287140768.22;;;86.4
TOTAL;1201580;Заходи із посилення інституційної спроможності для підготовки проектів державно-приватного партнерства;4951500;4951500;;;;4208095.36;;;84.98
TOTAL;1201700;Гарантування безпеки судноплавства та сприяння стабільності морських перевезень;0;800000000;;;;800000000;;;100
TOTAL;1203000;Державне агентство резерву України;700464800;857902124.59;;;;413307425.76;;;48.17
TOTAL;1203010;Керівництво та управління у сфері державного резерву;27226200;27226200;;;;24284348.97;;;89.19
TOTAL;1203020;Обслуговування державного матеріального резерву;288261600;445698924.59;;;;389021082.79;;;87.28
TOTAL;1203040;Накопичення (приріст) матеріальних цінностей державного матеріального резерву;384977000;384977000;;;;1994;;;0
TOTAL;1206000;Державна служба з питань праці;513546600;510192851.75;;;;509504842.83;;;99.86
TOTAL;1206010;Керівництво та управління у сфері промислової безпеки, охорони та гігієни праці, нагляду за додержанням законодавства про працю;503561200;504084672.35;;;;503430638.87;;;99.87
TOTAL;1206020;Наукова і науково-технічна діяльність у сфері промислової безпеки та охорони праці;9985400;6108179.4;;;;6074203.96;;;99.44
TOTAL;1208000;Державна служба експортного контролю України;47237100;61883561.1;;;;61759776.92;;;99.79
TOTAL;1208010;Керівництво та управління у сфері експортного контролю;47237100;61883561.1;;;;61759776.92;;;99.79
TOTAL;1210000;Міністерство економіки України (загальнодержавні видатки та кредитування);114809800;114810754.35;;;;111594572.68;;;97.19
TOTAL;1211000;Міністерство економіки України (загальнодержавні видатки та кредитування);114809800;114810754.35;;;;111594572.68;;;97.19
TOTAL;1211050;Мобілізаційна підготовка галузей національної економіки України;114809800;114810754.35;;;;111594572.68;;;97.19
TOTAL;1400000;Міністерство закордонних справ України;7371451700;7532258471.61;;;;5918711998.56;;;78.57
TOTAL;1401000;Апарат Міністерства закордонних справ України;7371451700;7532258471.61;;;;5918711998.56;;;78.57
TOTAL;1401010;Керівництво та управління у сфері державної політики щодо зовнішніх відносин;347230500;432204350.46;;;;424076094.86;;;98.11
TOTAL;1401020;Внески України до бюджетів ООН, органів і спеціалізованих установ системи ООН, інших міжнародних організацій та конвенційних органів;510973300;510973300;;;;504496392.86;;;98.73
TOTAL;1401030;Функціонування закордонних дипломатичних установ України та розширення мережі власності України для потреб цих установ;6351087200;6361038216.67;;;;4780168670.44;;;75.14
TOTAL;1401050;Реалізація Міністерством закордонних справ України повноважень з проведення зовнішньої політики України, організація і контроль за діяльністю закордонних дипломатичних установ України;21075400;21075400;;;;14100304.88;;;66.9
TOTAL;1401100;Професійне навчання посадових осіб дипломатичної служби та працівників інших державних органів у сфері зовнішніх зносин;17092200;18153749.12;;;;17873994.97;;;98.45
TOTAL;1401110;Фінансова підтримка забезпечення міжнародного позитивного іміджу України, забезпечення діяльності Українського інституту, заходи щодо підтримки зв'язків з українцями, які проживають за межами України;76048300;57690419.36;;;;48512861.4;;;84.09
TOTAL;1401130;Документування громадян та створення і забезпечення функціонування інформаційно-комунікаційних систем консульської служби;47944800;72721532;;;;71082175.15;;;97.74
TOTAL;1401700;Виготовлення персоналізованих бланків паспортів громадянина України для виїзду за кордон з безконтактним електронним носієм, оформлення яких здійснюється закордонними дипломатичними установами України;0;58401504;;;;58401504;;;100
TOTAL;1500000;Міністерство у справах ветеранів України;1336728200;1146837151.69;;;;1055786981.61;;;92.06
TOTAL;1501000;Апарат Міністерства у справах ветеранів України;1336728200;1146837151.69;;;;1055786981.61;;;92.06
TOTAL;1501010;Керівництво та управління у справах ветеранів;144276700;166347081.9;;;;161855961.63;;;97.3
TOTAL;1501030;Здійснення заходів з підтримки ветеранів, розвитку ветеранського руху, героїзації та вшанування пам'яті захисників України, взаємодія з громадськими об'єднаннями ветеранів, створення та утримання Національного військового меморіального кладовища;82897600;24259525;;;;13355427.56;;;55.05
TOTAL;1501040;Заходи із психологічної допомоги, соціальної, професійної адаптації, забезпечення санаторно-курортним лікуванням, розвитку спорту ветеранів війни, осіб, які мають особливі заслуги перед Батьківщиною, членів сімей таких осіб, постраждалих учасників Революції Гідності, членів сімей загиблих (померлих) ветеранів війни, членів сімей загиблих (померлих) Захисників та Захисниць України, виготовлення для них бланків посвідчень та нагрудних знаків;540385300;384729550.52;;;;317071916.05;;;82.41
TOTAL;1501090;Функціонування Українського ветеранського фонду, у тому числі здійснення фондом заходів з підтримки проектів;244677800;242590894.27;;;;237756853.37;;;98
TOTAL;1501100;Виплата одноразової грошової допомоги в разі загибелі (смерті) або інвалідності деяких категорій осіб відповідно до Закону України «Про статус ветеранів війни, гарантії їх соціального захисту»;324490800;324490800;;;;321327523;;;99.02
TOTAL;1501700;Виплата одноразової грошової допомоги у разі загибелі (смерті) або інвалідності волонтера внаслідок поранення (контузії, травми або каліцтва), отриманого під час надання волонтерської допомоги в районі здійснення заходів, необхідних для забезпечення оборони України, захисту безпеки населення та інтересів держави у зв'язку з військовою агресією Російської Федерації проти України;0;4419300;;;;4419300;;;100
TOTAL;1510000;Міністерство у справах ветеранів України (загальнодержавні видатки та кредитування);5501841500;5930566665;;;;5903038221.09;;;99.53
TOTAL;1511000;Міністерство у справах ветеранів України (загальнодержавні видатки та кредитування);5501841500;5930566665;;;;5903038221.09;;;99.53
TOTAL;1511040;Субвенція з державного бюджету місцевим бюджетам на виплату грошової компенсації за належні для отримання жилі приміщення для сімей осіб, визначених пунктами 2 - 5 частини першої статті 10-1 Закону України «Про статус ветеранів війни, гарантії їх соціального захисту», для осіб з інвалідністю I - II групи, яка настала внаслідок поранення, контузії, каліцтва або захворювання, одержаних під час безпосередньої участі в антитерористичній операції, забезпеченні її проведення, здійсненні заходів із забезпечення національної безпеки і оборони, відсічі і стримування збройної агресії Російської Федерації у Донецькій та Луганській областях, забезпеченні їх здійснення, у заходах, необхідних для забезпечення оборони України, захисту безпеки населення та інтересів держави у зв'язку з військовою агресією Російської Федерації проти України, визначених пунктами 11-14 частини другої статті 7 Закону України «Про статус ветеранів війни, гарантії їх соціального захисту», та які потребують поліпшення житлових умов;1733939200;1757379998;;;;1747361656.27;;;99.42
TOTAL;1511050;Субвенція з державного бюджету місцевим бюджетам на виплату грошової компенсації за належні для отримання жилі приміщення для внутрішньо переміщених осіб, які захищали незалежність, суверенітет та територіальну цілісність України і брали безпосередню участь в антитерористичній операції, забезпеченні її проведення, перебуваючи безпосередньо в районах антитерористичної операції у період її проведення, у здійсненні заходів із забезпечення національної безпеки і оборони, відсічі і стримування збройної агресії Російської Федерації у Донецькій та Луганській областях, забезпеченні їх здійснення, перебуваючи безпосередньо в районах та у період здійснення зазначених заходів, та визнані особами з інвалідністю внаслідок війни ІІІ групи відповідно до пунктів 11-14 частини другої статті 7 або учасниками бойових дій відповідно до пунктів 19-21 частини першої статті 6 Закону України «Про статус ветеранів війни, гарантії їх соціального захисту», та які потребують поліпшення житлових умов;3264682400;3657187857;;;;3641034566.59;;;99.55
TOTAL;1511060;Субвенція з державного бюджету місцевим бюджетам на виплату грошової компенсації за належні для отримання жилі приміщення для сімей учасників бойових дій на території інших держав, визначених у абзаці першому пункту 1 статті 10 Закону України «Про статус ветеранів війни, гарантії їх соціального захисту», для осіб з інвалідністю I-II групи з числа учасників бойових дій на території інших держав, інвалідність яких настала внаслідок поранення, контузії, каліцтва або захворювання, пов’язаних з перебуванням у цих державах, визначених пунктом 7 частини другої статті 7 Закону України «Про статус ветеранів війни, гарантії їх соціального захисту», та які потребують поліпшення житлових умов;499281600;508122220;;;;506765409.66;;;99.73
TOTAL;1511070;Субвенція з державного бюджету місцевим бюджетам на виплату грошової компенсації за належні для отримання жилі приміщення для сімей осіб, визначених у абзаці чотирнадцятому пункту 1 статті 10 Закону України «Про статус ветеранів війни, гарантії їх соціального захисту», для осіб з інвалідністю I-II групи, які стали особами з інвалідністю внаслідок поранень, каліцтва, контузії чи інших ушкоджень здоров'я, одержаних під час участі у Революції Гідності, визначених пунктом 10 частини другої статті 7 Закону України «Про статус ветеранів війни, гарантії їх соціального захисту», та які потребують поліпшення житлових умов;3938300;7876590;;;;7876588.57;;;99.99
TOTAL;2100000;Міністерство оборони України;1443393917200;2172647755020.11;;;;2066520986621.77;;;95.11
TOTAL;2101000;Апарат Міністерства оборони України;1427576313800;2154978227846.52;;;;2048863000071.65;;;95.07
TOTAL;2101010;Керівництво та військове управління у сфері оборони;606246200;617472336.23;;;;614685051.46;;;99.54
TOTAL;2101020;Забезпечення діяльності Збройних Сил України, підготовка кадрів і військ, медичне забезпечення особового складу, ветеранів військової служби та членів їхніх сімей, ветеранів війни;1056422294900;1219509661201.31;;;;1213899172301;;;99.53
TOTAL;2101150;Розвиток, закупівля, модернізація та ремонт озброєння, військової техніки, засобів та обладнання;370375307800;933904833051.17;;;;833445285240.31;;;89.24
TOTAL;2101190;Будівництво (придбання) житла для військовослужбовців Збройних Сил України;136183600;257853478.31;;;;255881035.9;;;99.23
TOTAL;2101210;Утилізація боєприпасів, рідинних компонентів ракетного палива, озброєння, військової техніки та іншого військового майна, забезпечення живучості та вибухопожежобезпеки арсеналів, баз і складів Збройних Сил України;9281300;80822619.5;;;;73421606.96;;;90.84
TOTAL;2101530;"Формування статутного капіталу Державного підприємства Міністерства оборони України ""Агенція закупівель у сфері оборони""";27000000;27000000;;;;27000000;;;100
TOTAL;2101700;Здійснення заходів, пов'язаних із зміцненням обороноздатності держави;0;580585160;;;;547554836.02;;;94.31
TOTAL;2105000;Адміністрація Державної спеціальної служби транспорту України;15817603400;17669527173.59;;;;17657986550.12;;;99.93
TOTAL;2105010;Забезпечення діяльності Державної спеціальної служби транспорту;15817603400;16662039773.59;;;;16650499750.41;;;99.93
TOTAL;2105700;Надання одноразової грошової допомоги сім'ям загиблих військовослужбовців Державної спеціальної служби транспорту України;0;218700000;;;;218700000;;;100
TOTAL;2105710;Здійснення заходів, пов'язаних з проведенням робіт з розмінування та фортифікації;0;788787400;;;;788786799.71;;;99.99
TOTAL;2200000;Міністерство освіти і науки України;53054743300;58806888885.88;;;;49033650548.41;;;83.38
TOTAL;2201000;Апарат Міністерства освіти і науки України;52888545500;58644691085.88;;;;48889349422.76;;;83.36
TOTAL;2201010;Загальне керівництво та управління у сфері освіти і науки;185773600;189081383.23;;;;184127378.6;;;97.37
TOTAL;2201020;Забезпечення організації роботи Національного агентства із забезпечення якості вищої освіти, Національного агентства кваліфікацій, освітнього омбудсмена;135448100;183146411.98;;;;176162240.24;;;96.18
TOTAL;2201030;Забезпечення здобуття професійної (професійно-технічної) освіти за професіями загальнодержавного значення;250000000;250000000;;;;192583855.15;;;77.03
TOTAL;2201040;Наукова і науково-технічна діяльність закладів вищої освіти та наукових установ;1124931100;1806371028.22;;;;1592533282.48;;;88.16
TOTAL;2201070;Фонд Президента України з підтримки освіти, науки та спорту;42920400;42920400;;;;18459800;;;43
TOTAL;2201080;Державні премії, стипендії та гранти в галузі освіти, науки і техніки, стипендії переможцям міжнародних конкурсів;80337200;89141892;;;;75688172.72;;;84.9
TOTAL;2201100;Надання освіти закладами загальної середньої освіти державної форми власності та освітніх послуг державною установою для осіб, які перебувають у закладах охорони здоров’я;241950400;265626904.65;;;;262478375.67;;;98.81
