тип фонду;код;найменування коду;початковий річний план;уточнений річний план;уточнений план за період;відкрито асигнувань за період;направлено асигнувань за період;виконано за період;відхилення до уточненого плану за період;відсоток виконання до уточненого плану за період;відсоток виконання до уточненого річного плану
fundType;programCode;programCodeName;yearBeginPlan;yearCorrectionPlan;periodCorrectionPlan;openAllocPeriod;directedAllocPeriod;periodDone;deviationToPeriodCorrectionPlan;percentDoneToPeriodCorrectionPlan;percentDoneToYearCorrectionPlan
;0000;РАЗОМ;3392956975800;4289931784885.94;;;;4014418147743.01;;;93.57
TOTAL;0110000;Управління справами Апарату Верховної Ради України;2707630300;2827766812.84;;;;2717259182.59;;;96.09
TOTAL;0111000;Управління справами Апарату Верховної Ради України;2707630300;2827766812.84;;;;2717259182.59;;;96.09
TOTAL;0111010;Здійснення законотворчої діяльності Верховної Ради України;1237214900;1323481225.38;;;;1252937921.67;;;94.66
TOTAL;0111020;Обслуговування та організаційне, інформаційно-аналітичне, матеріально-технічне забезпечення діяльності Верховної Ради України;1277467600;1311337787.46;;;;1273178932.65;;;97.09
TOTAL;0111090;"Висвітлення діяльності Верховної Ради України через засоби телебачення і радіомовлення та фінансова підтримка видання газети ""Голос України""";192947800;192947800;;;;191142328.27;;;99.06
TOTAL;0300000;Державне управління справами;2735915200;2853702939.97;;;;2793586111.3;;;97.89
TOTAL;0301000;Апарат Державного управління справами;2692118700;2809906439.97;;;;2750108667.98;;;97.87
TOTAL;0301010;Обслуговування та організаційне, інформаційно-аналітичне, матеріально-технічне забезпечення діяльності Президента України та Офісу Президента України;1053492200;1024998994.62;;;;988327603.28;;;96.42
TOTAL;0301050;Виготовлення державних нагород та пам'ятних знаків;171009200;171009200;;;;171006573.48;;;99.99
TOTAL;0301060;Фінансова підтримка санаторно-курортних закладів та закладів оздоровлення;150176900;94884671.17;;;;90026095.09;;;94.87
TOTAL;0301080;Наукова і науково-технічна діяльність у сфері державного управління, стратегічних проблем внутрішньої та зовнішньої політики і з питань посередництва та примирення при вирішенні колективних трудових спорів (конфліктів);69763200;72955027.04;;;;71695246.42;;;98.27
TOTAL;0301130;Підготовка науково-педагогічних і наукових кадрів з питань стратегічних проблем внутрішньої і зовнішньої політики;912600;396400;;;;322717.02;;;81.41
TOTAL;0301140;Збереження природно-заповідного фонду в національних природних парках та заповідниках;141654200;109370922.97;;;;106785457.62;;;97.63
TOTAL;0301170;Надання медичних послуг медичними закладами;1035235200;1268274024.17;;;;1253927824.5;;;98.86
TOTAL;0301360;Фінансова підтримка закладів культури і мистецтва;65872200;65872200;;;;65872150.57;;;99.99
TOTAL;0301460;Виплата Державних премій України;4003000;2145000;;;;2145000;;;100
TOTAL;0304000;Національна служба посередництва і примирення України;43796500;43796500;;;;43477443.32;;;99.27
