тип фонду;код;найменування коду;початковий річний план;уточнений річний план;уточнений план за період;відкрито асигнувань за період;направлено асигнувань за період;виконано за період;відхилення до уточненого плану за період;відсоток виконання до уточненого плану за період;відсоток виконання до уточненого річного плану
fundType;programCode;programCodeName;yearBeginPlan;yearCorrectionPlan;periodCorrectionPlan;openAllocPeriod;directedAllocPeriod;periodDone;deviationToPeriodCorrectionPlan;percentDoneToPeriodCorrectionPlan;percentDoneToYearCorrectionPlan
;0000;РАЗОМ;4767273804900;4914159158690.45;;;;658447037096.61;;;13.39
TOTAL;0110000;Управління справами Апарату Верховної Ради України;3890935000;3891013009.87;;;;563249451.46;;;14.47
TOTAL;0111000;Управління справами Апарату Верховної Ради України;3890935000;3891013009.87;;;;563249451.46;;;14.47
TOTAL;0111010;Здійснення законотворчої діяльності Верховної Ради України;2024610000;2024688009.87;;;;331587251.99;;;16.37
TOTAL;0111020;Обслуговування та організаційне, інформаційно-аналітичне, матеріально-технічне забезпечення діяльності Верховної Ради України;1785450800;1785450800;;;;224343761.29;;;12.56
TOTAL;0111090;"Висвітлення діяльності Верховної Ради України суб’єктом у сфері парламентського мовлення та фінансова підтримка видання газети ""Голос України""";80874200;80874200;;;;7318438.18;;;9.04
TOTAL;0300000;Державне управління справами;4153866400;4185631986.35;;;;484110741.61;;;11.56
TOTAL;0301000;Апарат Державного управління справами;3968819500;3998695728.08;;;;465295539.84;;;11.63
TOTAL;0301010;Обслуговування та організаційне, інформаційно-аналітичне, матеріально-технічне забезпечення діяльності Президента України та Офісу Президента України;877969100;877969100;;;;119710065.9;;;13.63
TOTAL;0301020;Забезпечення діяльності підприємств, установ та організацій Державного управління справами;536371800;536371800;;;;57979751.18;;;10.8
TOTAL;0301050;Виготовлення державних нагород та пам'ятних знаків;238677500;238677500;;;;0;;;0
TOTAL;0301060;Фінансова підтримка санаторно-курортних закладів та закладів оздоровлення;172448800;172448800;;;;14122276.76;;;8.18
TOTAL;0301080;Наукова і науково-технічна діяльність у сфері державного управління, стратегічних проблем внутрішньої та зовнішньої політики і охорони здоров’я;123096200;123096200;;;;18266282.42;;;14.83
TOTAL;0301130;Підготовка науково-педагогічних і наукових кадрів з питань стратегічних проблем внутрішньої і зовнішньої політики та підготовка кадрів і підвищення кваліфікації у сфері охорони здоров'я;7043700;7043700;;;;633777.78;;;8.99
TOTAL;0301140;Збереження природно-заповідного фонду в національних природних парках та заповідниках;158394500;159156897.46;;;;18766376.32;;;11.79
TOTAL;0301170;Надання медичних послуг медичними закладами;1781356900;1810470730.62;;;;224717490.21;;;12.41
TOTAL;0301360;Фінансова підтримка закладів культури і мистецтва;66162700;66162700;;;;11099519.27;;;16.77
TOTAL;0301460;Виплата Державних премій України;7298300;7298300;;;;0;;;0
TOTAL;0304000;Національна служба посередництва і примирення України;60089600;60089600;;;;7832761.58;;;13.03
TOTAL;0304010;Сприяння врегулюванню колективних трудових спорів (конфліктів);60089600;60089600;;;;7832761.58;;;13.03
TOTAL;0305000;Офіс Військового омбудсмана;124957300;126846658.27;;;;10982440.19;;;8.65
