тип фонду;код;найменування коду;початковий річний план;уточнений річний план;уточнений план за період;відкрито асигнувань за період;направлено асигнувань за період;виконано за період;відхилення до уточненого плану за період;відсоток виконання до уточненого плану за період;відсоток виконання до уточненого річного плану
TOTAL;0800000;Конституційний Суд України;332718700;332729480.43;;;;309237207.89;;;92.93
TOTAL;0801000;Конституційний Суд України;332718700;332729480.43;;;;309237207.89;;;92.93
TOTAL;0801010;Забезпечення конституційної юрисдикції в Україні;332718700;332729480.43;;;;309237207.89;;;92.93
TOTAL;0850000;Вищий антикорупційний суд;457682800;477808257.4;;;;410059355.32;;;85.82
TOTAL;0851000;Апарат Вищого антикорупційного суду;457682800;477808257.4;;;;410059355.32;;;85.82
TOTAL;0851010;Здійснення правосуддя Вищим антикорупційним судом;324493100;341671740.13;;;;301931307.31;;;88.36
TOTAL;0851020;Здійснення правосуддя Апеляційною палатою Вищого антикорупційного суду;133189700;136136517.27;;;;108128048.01;;;79.42
TOTAL;0900000;Офіс Генерального прокурора;16877606200;16145217803.9;;;;16043304303.46;;;99.36
TOTAL;0901000;Офіс Генерального прокурора;16877606200;16145217803.9;;;;16043304303.46;;;99.36
TOTAL;0901010;Здійснення прокурорської діяльності, підготовка та підвищення кваліфікації працівників органів прокуратури;16541620900;15905605334.94;;;;15815790426.31;;;99.43
TOTAL;0901030;Забезпечення функцій Спеціалізованою антикорупційною прокуратурою;335985300;239612468.96;;;;227513877.15;;;94.95
TOTAL;0950000;Вищий суд з питань інтелектуальної власності;4356800;4356800;;;;1435872.63;;;32.95
TOTAL;0951000;Апарат Вищого суду з питань інтелектуальної власності;4356800;4356800;;;;1435872.63;;;32.95
TOTAL;0951010;Здійснення правосуддя Вищим судом з питань інтелектуальної власності;3888900;3888900;;;;1435872.63;;;36.92
TOTAL;0951020;Здійснення правосуддя Апеляційною палатою Вищого суду з питань інтелектуальної власності;467900;467900;;;;0;;;0
TOTAL;1000000;Міністерство внутрішніх справ України;530735951000;607173389287.3;;;;603224864738.54;;;99.34
TOTAL;1001000;Апарат Міністерства внутрішніх справ України;21942787400;22989674392.37;;;;22020767384.31;;;95.78
TOTAL;1001010;Керівництво та управління діяльністю Міністерства внутрішніх справ України;860164000;892117077;;;;892117076.62;;;99.99
TOTAL;1001050;Забезпечення діяльності органів, установ та закладів Міністерства внутрішніх справ України, підготовка кадрів закладами вищої освіти із специфічними умовами навчання;17945996200;19303480069.37;;;;18670437860.55;;;96.72
TOTAL;1001170;Наукове та інформаційно-аналітичне забезпечення заходів по боротьбі з організованою злочинністю і корупцією;7571800;7540325;;;;7540320.01;;;99.99
TOTAL;1001220;Створення єдиної авіаційної системи безпеки та цивільного захисту;3129055400;2770384921;;;;2450672127.13;;;88.45
TOTAL;1001500;Реалізація Програми екстреного відновлення на придбання обладнання для надання медичних послуг та охорони здоров'я та агентське обслуговування;0;16152000;;;;0;;;0
TOTAL;1002000;Адміністрація Державної прикордонної служби України;144073414600;167569891204;;;;166982772347.96;;;99.64
TOTAL;1002010;Керівництво та управління у сфері охорони державного кордону України;757784900;664944500;;;;664944500;;;100
TOTAL;1002030;Забезпечення виконання завдань, функцій та підготовка кадрів Державною прикордонною службою України;142195456500;163808689848;;;;163468249628.87;;;99.79
TOTAL;1002070;Будівництво (придбання) житла для військовослужбовців Державної прикордонної служби України;200000000;199849635;;;;199848287.75;;;99.99
TOTAL;1002110;Розвідувальна діяльність у сфері захисту державного кордону;704928000;695408240;;;;691448112.22;;;99.43
TOTAL;1002500;Реалізація Програми екстреного відновлення на придбання обладнання для надання медичних послуг та охорони здоров'я, обладнання для національної безпеки та агентське обслуговування;0;178903000;;;;0;;;0
TOTAL;1002600;Реалізація проекту із закупівлі безпілотних авіаційних систем та засобів моніторингу державного кордону;215245200;215245200;;;;151431331.83;;;70.35
TOTAL;1002700;Надання компенсації об'єктам державної власності, у будівлях (приміщеннях) яких в умовах воєнного стану на безоплатній основі розміщувалися внутрішньо переміщені особи;0;250781;;;;250747.29;;;99.98
TOTAL;1002710;Здійснення заходів, пов’язаних із зміцненням обороноздатності держави;0;806600000;;;;806599740;;;99.99
TOTAL;1002720;Забезпечення фінансування нагальних потреб оборони;0;1000000000;;;;1000000000;;;100
TOTAL;1003000;Національна гвардія України;194797806900;218536208917.2;;;;217510086540.13;;;99.53
TOTAL;1003010;Керівництво та управління Національною гвардією України;969146800;765585900;;;;765585900;;;100
TOTAL;1003020;Забезпечення виконання завдань, функцій та підготовка кадрів Національною гвардією України;193396806900;214774803792.65;;;;213772172055.38;;;99.53
TOTAL;1003090;Будівництво (придбання) житла для військовослужбовців Національної гвардії України;431853200;443825822.55;;;;420335182.75;;;94.7
TOTAL;1003700;Здійснення заходів, пов’язаних із зміцненням обороноздатності держави;0;552513402;;;;552513402;;;100
TOTAL;1003710;Кошти для Національної гвардії України;0;1999480000;;;;1999480000;;;100
TOTAL;1004000;Державна міграційна служба України;5799879200;5361872351;;;;5173319180.78;;;96.48
TOTAL;1004010;Керівництво та управління у сфері міграції, громадянства, імміграції та реєстрації фізичних осіб;179218200;211495559;;;;205948174.76;;;97.37
TOTAL;1004020;Забезпечення виконання завдань та функцій у сфері громадянства, імміграції та реєстрації фізичних осіб;5618363300;5147694692;;;;4964688959.38;;;96.44
TOTAL;1004070;Внески до Міжнародної організації з міграції;2297700;2682100;;;;2682046.64;;;99.99
TOTAL;1006000;Державна служба України з надзвичайних ситуацій;45693005100;54730216260;;;;53971513481.89;;;98.61
TOTAL;1006010;Керівництво та управління у сфері надзвичайних ситуацій;552672600;502489396;;;;502163218.45;;;99.93
TOTAL;1006060;Гідрометеорологічна діяльність;1027997400;1120934456;;;;1108406826.63;;;98.88
TOTAL;1006070;Наукова і науково-технічна діяльність у сфері гідрометеорології;56348500;73004820;;;;70396243.92;;;96.42
TOTAL;1006110;Будівництво (придбання) житла для осіб рядового і начальницького складу Державної служби України з надзвичайних ситуацій;190000000;189047036;;;;183947035.5;;;97.3
TOTAL;1006160;Реалізація Програми екстреного відновлення на придбання обладнання та конструкцій для гуманітарного розмінування, будівництво об’єктів навчально-тренувального комплексу;0;962025370;;;;929563961.41;;;96.62
TOTAL;1006280;Забезпечення діяльності органів та підрозділів цивільного захисту, підготовка кадрів Державною службою України з надзвичайних ситуацій;43865986600;51882715182;;;;51177036195.98;;;98.63
TOTAL;1007000;Національна поліція України;118429057800;137985526162.73;;;;137566405803.47;;;99.69
TOTAL;1007010;Керівництво та управління діяльністю Національної поліції України;2344220900;2500140900;;;;2500140900;;;100
TOTAL;1007020;Забезпечення діяльності органів, установ та закладів Національної поліції України;116084836900;135243385262.73;;;;134824264903.47;;;99.69
TOTAL;1007700;Здійснення заходів, пов’язаних із зміцненням обороноздатності держави;0;242000000;;;;242000000;;;100
TOTAL;1200000;Міністерство економіки України;23862800500;56105326382.92;;;;49963468076.24;;;89.05
TOTAL;1201000;Апарат Міністерства економіки України;22651324600;47007181350.9;;;;41743313005.57;;;88.8
TOTAL;1201010;Керівництво та управління у сфері економіки;737471400;1188211065.74;;;;1160588532.21;;;97.67
TOTAL;1201030;Забезпечення двостороннього співробітництва України з іноземними державами та міжнародними організаціями, інформаційне та організаційне забезпечення участі України у міжнародних форумах, конференціях, виставках;93587700;80587700;;;;72270618.3;;;89.67
TOTAL;1201040;Наукова і науково-технічна діяльність у сфері захисту довкілля та природних ресурсів;0;103412675.76;;;;96419844.05;;;93.23
TOTAL;1201050;Наукова і науково-технічна діяльність у сфері розвитку агропромислового комплексу, стандартизації та сертифікації сільськогосподарської продукції;0;199277876.92;;;;188124673.29;;;94.4
TOTAL;1201060;Підвищення кваліфікації фахівців агропромислового комплексу;0;37555128.53;;;;28664374.05;;;76.32
TOTAL;1201100;Підтримка фермерських господарств та інших виробників сільськогосподарської продукції;0;4726000000;;;;1876337920.78;;;39.7
TOTAL;1201110;Витрати Аграрного фонду пов'язані з комплексом заходів із  зберігання, перевезення, переробки та експортом об'єктів державного цінового регулювання державного інтервенційного фонду;0;3523200;;;;0;;;0
TOTAL;1201120;Збереження природно-заповідного фонду;0;1213449563.11;;;;1136411455.26;;;93.65
TOTAL;1201140;Підвищення кваліфікації та перепідготовка кадрів у сфері екології, природних ресурсів та водного господарства, підготовка наукових та науково-педагогічних кадрів;0;6588514.08;;;;6015698.52;;;91.3
TOTAL;1201150;Фінансова підтримка сільгосптоваровиробників;0;1055000000;;;;154535630.63;;;14.64
TOTAL;1201220;Наукова і науково-технічна діяльність у сфері економічного розвитку, стандартизації, метрології та метрологічної діяльності;16408300;16408300;;;;15618877.56;;;95.18
TOTAL;1201240;Забезпечення реалізації проекту «Стійке, інклюзивне та екологічно збалансоване підприємництво»;0;208092000;;;;2256832.21;;;1.08
TOTAL;1201280;Виплати працівникам, які вивільняються з роботи у зв’язку із достроковим зняттям з експлуатації Чорнобильської АЕС;2520400;2520400;;;;1285636.8;;;51
TOTAL;1201300;Забезпечення функціонування офісу із залучення та підтримки інвестицій;0;49233600;;;;40652603.72;;;82.57
TOTAL;1201310;Часткова компенсація вартості сільськогосподарської техніки та обладнання вітчизняного виробництва;0;1200000000;;;;1196799032;;;99.73
TOTAL;1201320;Виконання судових рішень, що набрали законної сили;940000;1940000;;;;1940000;;;100
TOTAL;1201330;"Здійснення заходів з обов’язкового проведення тендерів ДУ ""Професійні закупівлі""";6729800;6729800;;;;5861633.18;;;87.09
TOTAL;1201340;Державне стимулювання створення індустріальних парків;0;910800000;;;;830234474.6;;;91.15
TOTAL;1201350;Надання грантів для створення або розвитку бізнесу;1370000000;1351423962;;;;1328082283;;;98.27
TOTAL;1201370;Здійснення природоохоронних заходів, зокрема з покращення стану довкілля;0;68800000;;;;41891569.08;;;60.88
TOTAL;1201380;Реалізація приватним акціонерним товариством «Українська фінансова житлова компанія» житлової політики держави шляхом забезпечення громадян України житлом;1268686800;1874014255;;;;1874014255;;;100
TOTAL;1201390;Забезпечення діяльності Національного центру обліку викидів парникових газів;0;11152200;;;;11085426.15;;;99.4
TOTAL;1201410;Забезпечення виконання завдань і заходів із підтримки українців за кордоном та сприяння їх поверненню в Україну;150028700;0;;;;0;;;
TOTAL;1201420;Компенсація витрат за гуманітарне розмінування земель сільськогосподарського призначення;1000000000;2232312500;;;;1271067237.47;;;56.93
TOTAL;1201430;Підтримка внутрішнього попиту на вітчизняні товари та послуги;0;1616640870;;;;1610072111.91;;;99.59
TOTAL;1201440;Державна підтримка заходів, спрямованих на зменшення обсягів викидів (збільшення абсорбції) парникових газів, у тому числі на утеплення приміщень закладів соціального забезпечення, розвиток міжнародного співробітництва з питань зміни клімату;0;55553600;;;;50870881.77;;;91.57
TOTAL;1201450;Забезпечення функціонування Фонду розвитку підприємництва;18000000000;18000000000;;;;18000000000;;;100
TOTAL;1201460;Забезпечення діяльності Національної комісії з радіаційного захисту населення України;0;2261900;;;;2261622.72;;;99.98
TOTAL;1201470;Створення та функціонування Групи управління Проектом «Екстрений проект надання інклюзивної підтримки для відновлення сільського господарства України (ARISE)»;0;17704500;;;;0;;;0
TOTAL;1201480;Організація і регулювання діяльності установ в системі агропромислового комплексу;0;296855939.76;;;;286984119.29;;;96.67
TOTAL;1201580;Заходи із посилення інституційної спроможності для підготовки публічних інвестиційних проектів та  проектів державно-приватного партнерства, а також виконання зобов'язань  за міжнародними угодами;4951500;711813900;;;;709596672.41;;;99.68
TOTAL;1201700;"Надання одноразової державної грошової допомоги ""Зимова підтримка""";0;5533717900;;;;5533147969.16;;;99.98
TOTAL;1201710;Здійснення заходів, пов’язаних із наданням консультаційних послуг для підготовки проєкту Угоди щодо створення Інвестиційного фонду відбудови;0;59000000;;;;44809650;;;75.94
TOTAL;1201720;Надання державної грошової допомоги покупцям товарів українського виробництва та часткової компенсації вартості техніки і обладнання вітчизняного виробництва;0;4166600000;;;;4165411370.45;;;99.97
TOTAL;1202000;Державна служба геології та надр України;0;116123950;;;;113771726.69;;;97.97
TOTAL;1202010;Керівництво та управління у сфері геологічного вивчення та використання надр;0;116123950;;;;113771726.69;;;97.97
TOTAL;1203000;Державне агентство з управління резервами України;407857100;418224360;;;;64950028.08;;;15.52
TOTAL;1203010;Керівництво та управління у сфері державних резервів;39685600;39688156;;;;23169643.3;;;58.37
TOTAL;1203020;Обслуговування державного матеріального резерву;76791900;87156604;;;;41780384.78;;;47.93
TOTAL;1203040;Накопичення (приріст) матеріальних цінностей державного матеріального резерву;291379600;291379600;;;;0;;;0
TOTAL;1204000;Державна екологічна інспекція України;0;562366332.59;;;;557093586.65;;;99.06
TOTAL;1204010;Керівництво та управління у сфері екологічного контролю;0;562366332.59;;;;557093586.65;;;99.06
TOTAL;1205000;Державне агентство водних ресурсів України;0;4703932839.69;;;;4381739100.46;;;93.15
TOTAL;1205010;Керівництво та управління у сфері водного господарства;0;60213800;;;;58854998.45;;;97.74
TOTAL;1205050;Експлуатація державного водогосподарського комплексу та управління водними ресурсами;0;4486619039.69;;;;4203758850.73;;;93.69
TOTAL;1205070;Захист від шкідливої дії вод сільських населених пунктів та сільськогосподарських угідь, в тому числі в басейні р. Тиса у Закарпатській області;0;137100000;;;;108553157.19;;;79.17
TOTAL;1205090;Першочергове забезпечення сільських населених пунктів централізованим водопостачанням;0;20000000;;;;10572094.09;;;52.86
TOTAL;1206000;Державна служба з питань праці;740652700;720479280.16;;;;693968365.46;;;96.32
TOTAL;1206010;Керівництво та управління у сфері промислової безпеки, охорони та гігієни праці, нагляду за додержанням законодавства про працю;731175800;714948000;;;;688465515.46;;;96.29
TOTAL;1206020;Наукова і науково-технічна діяльність у сфері промислової безпеки та охорони праці;9476900;5531280.16;;;;5502850;;;99.48
TOTAL;1207000;Державне агентство України з розвитку меліорації, рибного господарства та продовольчих програм;0;1964314045.44;;;;1839939158.84;;;93.66
TOTAL;1207010;Керівництво та управління у сфері розвитку меліорації, рибного господарства та продовольчих програм;0;446416756.06;;;;417854805.45;;;93.6
TOTAL;1207020;Організація діяльності рибовідтворювальних комплексів та інших бюджетних установ  у сфері рибного господарства;0;46763873;;;;39892717.11;;;85.3
TOTAL;1207030;Наукова і науково-технічна діяльність у сфері рибного господарства;0;24370306.36;;;;24228155.24;;;99.41
TOTAL;1207090;Міжнародна діяльність у галузі рибного господарства;0;4300000;;;;3606882.71;;;83.88
TOTAL;1207120;Експлуатація державного водогосподарсько-меліоративного комплексу;0;1421463110.02;;;;1350156068.33;;;94.98
TOTAL;1207140;Заходи із вселення водних біоресурсів у рибогосподарські водні об’єкти (їх частини);0;21000000;;;;4200530;;;20
TOTAL;1208000;Державна служба експортного контролю України;62966100;75834930.55;;;;72263376.43;;;95.29
TOTAL;1208010;Керівництво та управління у сфері експортного контролю;62966100;75834930.55;;;;72263376.43;;;95.29
TOTAL;1209000;Державне агентство лісових ресурсів України;0;536869293.59;;;;496429728.06;;;92.46
TOTAL;1209010;Керівництво та управління у сфері лісового господарства;0;129658011.9;;;;126639751.13;;;97.67
TOTAL;1209060;Ведення лісового і мисливського господарства, охорона і захист лісів в лісовому фонді;0;407211281.69;;;;369789976.93;;;90.81
TOTAL;1210000;Міністерство економіки України (загальнодержавні видатки та кредитування);112179200;112226267.01;;;;109208570.34;;;97.31
TOTAL;1211000;Міністерство економіки України (загальнодержавні видатки та кредитування);112179200;112226267.01;;;;109208570.34;;;97.31
TOTAL;1211050;Мобілізаційна підготовка галузей національної економіки України;112179200;112226267.01;;;;109208570.34;;;97.31
TOTAL;1400000;Міністерство закордонних справ України;7998127400;8136392981.09;;;;7073748309.92;;;86.93
TOTAL;1401000;Апарат Міністерства закордонних справ України;7998127400;8136392981.09;;;;7073748309.92;;;86.93
TOTAL;1401010;Керівництво та управління у сфері державної політики щодо зовнішніх відносин;493300600;557752909.86;;;;551848684.89;;;98.94
TOTAL;1401020;Внески України до бюджетів ООН, органів і спеціалізованих установ системи ООН, інших міжнародних організацій та конвенційних органів;459876000;477729400;;;;477608907.23;;;99.97
TOTAL;1401030;Функціонування закордонних дипломатичних установ України та розширення мережі власності України для потреб цих установ;6751901700;6792169176.25;;;;5745382479.6;;;84.58
TOTAL;1401050;Реалізація Міністерством закордонних справ України повноважень з проведення зовнішньої політики України, організація і контроль за діяльністю закордонних дипломатичних установ України;28300000;23300000;;;;22018809.37;;;94.5
TOTAL;1401100;Професійне навчання посадових осіб дипломатичної служби та працівників інших державних органів у сфері зовнішніх зносин;18481900;21691505.92;;;;21299528.64;;;98.19
TOTAL;1401110;Фінансова підтримка забезпечення міжнародного позитивного іміджу України, забезпечення діяльності Українського інституту, заходи щодо підтримки зв'язків з українцями, які проживають за межами України;94402200;93714589.92;;;;86063436.32;;;91.83
TOTAL;1401130;Документування громадян та створення і забезпечення функціонування інформаційно-комунікаційних систем консульської служби;151865000;170035399.14;;;;169526463.87;;;99.7
TOTAL;1500000;Міністерство у справах ветеранів України;5378349800;4221703265.53;;;;4164384634.68;;;98.64
TOTAL;1501000;Апарат Міністерства у справах ветеранів України;5378349800;4221703265.53;;;;4164384634.68;;;98.64
TOTAL;1501010;Керівництво та управління у справах ветеранів;206673300;188864986.17;;;;188110212.12;;;99.6
TOTAL;1501120;Заходи з підтримки та допомоги ветеранам війни, членам їх сімей та членам родин загиблих;3354220200;2333696400;;;;2301098758.97;;;98.6
TOTAL;1501130;Забезпечення діяльності підприємств, установ та організацій Міністерства у справах ветеранів;517456300;544052579.36;;;;543087955.52;;;99.82
TOTAL;1501700;Виплата одноразової грошової допомоги у разі загибелі (смерті) або інвалідності волонтера внаслідок поранення (контузії, травми або каліцтва), отриманого під час надання волонтерської допомоги в районі здійснення заходів, необхідних для забезпечення оборони України, захисту безпеки населення та інтересів держави у зв’язку з військовою агресією Російської Федерації проти України;0;3188100;;;;3188100;;;100
TOTAL;1501710;Здійснення заходів, пов’язаних з початком проведення поховань на Національному військовому меморіальному кладовищі невпізнаних тіл (останків) військовослужбовців, поліцейських, які загинули (померли) внаслідок збройної агресії проти України;0;15298200;;;;15251762.24;;;99.69
TOTAL;1501800;Реалізація публічного інвестиційного проекту із створення та функціонування Національного військового меморіального кладовища;1300000000;1136603000;;;;1113647845.83;;;97.98
TOTAL;1510000;Міністерство у справах ветеранів України (загальнодержавні видатки та кредитування);6441290000;7635534500;;;;7380361421.1;;;96.65
TOTAL;1511000;Міністерство у справах ветеранів України (загальнодержавні видатки та кредитування);6441290000;7635534500;;;;7380361421.1;;;96.65
