тип фонду;код;найменування коду;початковий річний план;уточнений річний план;уточнений план за період;відкрито асигнувань за період;направлено асигнувань за період;виконано за період;відхилення до уточненого плану за період;відсоток виконання до уточненого плану за період;відсоток виконання до уточненого річного плану
fundType;programCode;programCodeName;yearBeginPlan;yearCorrectionPlan;periodCorrectionPlan;openAllocPeriod;directedAllocPeriod;periodDone;deviationToPeriodCorrectionPlan;percentDoneToPeriodCorrectionPlan;percentDoneToYearCorrectionPlan
;0000;РАЗОМ;4654848494500;5693220268190.8;;;;5473577192612.69;;;96.14
TOTAL;0110000;Управління справами Апарату Верховної Ради України;3144284200;3331025947.07;;;;3209115568.05;;;96.34
TOTAL;0111000;Управління справами Апарату Верховної Ради України;3144284200;3331025947.07;;;;3209115568.05;;;96.34
TOTAL;0111010;Здійснення законотворчої діяльності Верховної Ради України;1691756000;1651987920.06;;;;1550664245.39;;;93.86
TOTAL;0111020;Обслуговування та організаційне, інформаційно-аналітичне, матеріально-технічне забезпечення діяльності Верховної Ради України;1374228700;1600738527.01;;;;1580242549.07;;;98.71
TOTAL;0111090;"Висвітлення діяльності Верховної Ради України суб’єктом у сфері парламентського мовлення та фінансова підтримка видання газети ""Голос України""";78299500;78299500;;;;78208773.59;;;99.88
TOTAL;0300000;Державне управління справами;4105355800;4062233964.66;;;;3952396779.35;;;97.29
TOTAL;0301000;Апарат Державного управління справами;4007822900;3987503464.66;;;;3888239534.54;;;97.51
TOTAL;0301010;Обслуговування та організаційне, інформаційно-аналітичне, матеріально-технічне забезпечення діяльності Президента України та Офісу Президента України;782277300;805079700;;;;799666376.47;;;99.32
TOTAL;0301020;Забезпечення діяльності підприємств, установ та організацій Державного управління справами;512807000;515897563.47;;;;511857014.59;;;99.21
TOTAL;0301050;Виготовлення державних нагород та пам'ятних знаків;171009200;171009200;;;;171009102.7;;;99.99
TOTAL;0301060;Фінансова підтримка санаторно-курортних закладів та закладів оздоровлення;148677100;105121116.17;;;;100640270.16;;;95.73
TOTAL;0301080;Наукова і науково-технічна діяльність у сфері державного управління, стратегічних проблем внутрішньої та зовнішньої політики і охорони здоров’я;108132700;110738960;;;;106869928.51;;;96.5
TOTAL;0301130;Підготовка науково-педагогічних і наукових кадрів з питань стратегічних проблем внутрішньої і зовнішньої політики та підготовка кадрів і підвищення кваліфікації у сфері охорони здоров'я;5983800;6025800;;;;5120360.03;;;84.97
TOTAL;0301140;Збереження природно-заповідного фонду в національних природних парках та заповідниках;147910300;134386469.67;;;;130002664.75;;;96.73
TOTAL;0301170;Надання медичних послуг медичними закладами;1847882100;1681982455.35;;;;1644932800.37;;;97.79
TOTAL;0301360;Фінансова підтримка закладів культури і мистецтва;61608600;61608600;;;;61608593.81;;;99.99
TOTAL;0301460;Виплата Державних премій України;4876000;3876000;;;;3875840;;;99.99
TOTAL;0301700;Здійснення заходів, пов’язаних із зміцненням обороноздатності держави;0;175118800;;;;136303851.15;;;77.83
TOTAL;0301810;"Реалізація публічного інвестиційного проекту ""Модернізація та оснащення відділу виробництва радіофармпрепаратів Всеукраїнського центру радіохірургії Клінічної лікарні ""Феофанія"" Державного управління справами для впровадження нових діагностичних методик в онкології""";216658800;216658800;;;;216352732;;;99.85
TOTAL;0304000;Національна служба посередництва і примирення України;60089600;60089600;;;;59850132.53;;;99.6
TOTAL;0304010;Сприяння врегулюванню колективних трудових спорів (конфліктів);60089600;60089600;;;;59850132.53;;;99.6
TOTAL;0305000;Офіс Військового омбудсмана;37443300;14640900;;;;4307112.28;;;29.41
TOTAL;0305010;Забезпечення діяльності Військового омбудсмана;37443300;14640900;;;;4307112.28;;;29.41
TOTAL;0410000;Господарсько-фінансовий департамент Секретаріату Кабінету Міністрів України;12568785700;15153647217.07;;;;13749192879.09;;;90.73
TOTAL;0411000;Секретаріат Кабінету Міністрів України;1763170000;1955522419.1;;;;1746200840.5;;;89.29
TOTAL;0411010;Організаційне, інформаційно-аналітичне та матеріально-технічне забезпечення діяльності Кабінету Міністрів України;1048604700;1136070565.01;;;;1082459346.79;;;95.28
TOTAL;0411020;Обслуговування діяльності Кабінету Міністрів України;322817000;416480644.71;;;;363754418;;;87.34
TOTAL;0411070;"Фінансова підтримка газети ""Урядовий кур'єр""";50328300;50328300;;;;22526025.6;;;44.75
TOTAL;0411130;Інформаційно-аналітичне та організаційне забезпечення оперативного реагування органів виконавчої влади;177817000;178686884.56;;;;176930885.45;;;99.01
TOTAL;0411170;Забезпечення функціонування офісу із залучення та підтримки інвестицій;65903600;0;;;;0;;;
TOTAL;0411190;Заходи з підтримки розвитку лідерства в Україні;10000000;10000000;;;;9713383;;;97.13
TOTAL;0411200;Організаційне, матеріально-технічне, інформаційне та інше забезпечення діяльності Національної ради України з питань розвитку науки і технологій;155700;155700;;;;4667.44;;;2.99
TOTAL;0411240;Функціонування інституції з розвитку підприємництва та експорту;36815000;36815000;;;;32641042.49;;;88.66
TOTAL;0411250;"Забезпечення функціонування бюджетної установи ""Центр гуманітарного розмінування""";50728700;126507464.82;;;;57693211.73;;;45.6
TOTAL;0411700;Поховання колишнього Прем’єр-міністра України Фокіна В. П.;0;477860;;;;477860;;;100
TOTAL;0412000;Державна служба України з питань безпечності харчових продуктів та захисту споживачів;7297017200;7973771381;;;;7503339519.16;;;94.1
TOTAL;0412010;Керівництво та управління у сфері безпечності харчових продуктів та захисту споживачів;2572403100;2642238736.74;;;;2417431514.98;;;91.49
TOTAL;0412020;Протиепізоотичні заходи та участь у Всесвітній організації охорони здоров’я тварин (МЕБ);703639800;742779000;;;;739372620.46;;;99.54
TOTAL;0412030;Організація та регулювання діяльності установ в системі Державної служби України з питань безпечності харчових продуктів та захисту споживачів;3964371900;4532151244.26;;;;4311201513.65;;;95.12
TOTAL;0412040;Проведення лабораторних випробувань, вимірювань, досліджень та експертизи під час здійснення державного контролю (нагляду);56602400;56602400;;;;35333870.07;;;62.42
TOTAL;0413000;Державна служба України з етнополітики та свободи совісті;64043100;54167600;;;;44421649.61;;;82
TOTAL;0413010;Керівництво та управління у сфері етнополітики та свободи совісті;43814800;33939300;;;;33609959.26;;;99.02
TOTAL;0413020;Реалізація прав і свобод національних меншин (спільнот) та корінних народів України;20228300;20228300;;;;10811690.35;;;53.44
TOTAL;0414000;Державна служба статистики України;1436767700;1525990389.37;;;;1493917289.26;;;97.89
TOTAL;0414010;Керівництво та управління у сфері статистики;1378502400;1467665797.37;;;;1456694867.53;;;99.25
TOTAL;0414020;Статистичні спостереження;49714700;49773992;;;;31156821.19;;;62.59
TOTAL;0414090;Підготовка кадрів у сфері статистики закладом вищої освіти та забезпечення діяльності його баз практики;8550600;8550600;;;;6065600.54;;;70.93
TOTAL;0415000;Державне агентство з енергоефективності та енергозбереження України;1803667700;2230066118.26;;;;1579957000.16;;;70.84
TOTAL;0415010;Керівництво та управління у сфері ефективного використання енергетичних ресурсів;53667700;63894518.26;;;;63636900.16;;;99.59
TOTAL;0415020;Державний фонд декарбонізації та енергоефективної трансформації;1750000000;2166171600;;;;1516320100;;;69.99
TOTAL;0417000;Державна служба України з питань геодезії, картографії та кадастру;0;1414129309.34;;;;1381356580.4;;;97.68
TOTAL;0417010;Керівництво та управління у сфері геодезії, картографії та кадастру;0;1209693977.64;;;;1199154585.7;;;99.12
TOTAL;0417020;Проведення земельної реформи;0;92495100;;;;88544481.21;;;95.72
TOTAL;0417030;Загальнодержавні топографо-геодезичні та картографічні роботи, демаркація та делімітація державного кордону;0;95754700;;;;84631411.58;;;88.38
TOTAL;0417620;Проведення інвентаризації земель та оновлення картографічної основи Державного земельного кадастру;0;16185531.7;;;;9026101.91;;;55.76
TOTAL;0419000;Державне агентство України з питань кіно;204120000;0;;;;0;;;
TOTAL;0419010;Керівництво та управління у сфері кінематографії;30443600;0;;;;0;;;
TOTAL;0419030;Державна підтримка кінематографії, у тому числі документування воєнних злочинів;173676400;0;;;;0;;;
TOTAL;0500000;Державна судова адміністрація України;22105305200;22942217465.55;;;;21662697343.34;;;94.42
TOTAL;0501000;Апарат Державної судової адміністрації України;22105305200;22942217465.55;;;;21662697343.34;;;94.42
TOTAL;0501020;Забезпечення здійснення правосуддя місцевими, апеляційними судами та функціонування органів і установ системи правосуддя;22095305200;22932217465.55;;;;21652718546.99;;;94.42
TOTAL;0501150;Виконання рішень судів на користь суддів, працівників апаратів судів та працівників органів і установ системи правосуддя;10000000;10000000;;;;9978796.35;;;99.78
TOTAL;0550000;Верховний Суд;2430397500;2460213198.45;;;;2248026311.69;;;91.37
TOTAL;0551000;Апарат Верховного Суду;2430397500;2460213198.45;;;;2248026311.69;;;91.37
TOTAL;0551010;Здійснення правосуддя Верховним Судом;2430397500;2460213198.45;;;;2248026311.69;;;91.37
TOTAL;0600000;Спеціалізований окружний адміністративний суд;880400;880400;;;;0;;;0
TOTAL;0601000;Апарат Спеціалізованого окружного адміністративного суду;880400;880400;;;;0;;;0
TOTAL;0601010;Здійснення правосуддя Спеціалізованим окружним адміністративним судом;880400;880400;;;;0;;;0
TOTAL;0650000;Спеціалізований апеляційний адміністративний суд;880300;880300;;;;0;;;0
TOTAL;0651000;Апарат Спеціалізованого апеляційного адміністративного суду;880300;880300;;;;0;;;0
TOTAL;0651010;Здійснення правосуддя Спеціалізованим апеляційним адміністративним судом;880300;880300;;;;0;;;0
